source_page,extracted_table_index,column_1,column_2,column_3,column_4
9,1,332,Removal of Submandibular Salivary gland,8625,9919
9,1,333,Hemithyroidectomy,9500,10925
9,1,334,Partial Thyroidectomy (lobectomy),11500,13225
9,1,335,Subtotal Thyroidectomy,13053,15011
9,1,336,Total Thyroidectomy,19000,21850
9,1,337,Resection Enucleation of thyroid Adenoma,10580,12167
9,1,338,Total Thyroidectomy and Block Dissection,26450,30418
9,1,339,Excision of Lingual Thyroid,16882,19414
9,1,340,Excision of Thyroglossal Cyst/Fistula,13225,15209
9,1,341,Excision of Parathyroid Adenoma/Carcinoma,21275,24466
9,1,342,Laryngectomy,17825,20499
9,1,343,Laryngo Pharyngectomy,30000,34500
9,1,344,Hyoid Suspension,10350,11903
9,1,345,Genioplasty,12000,13800
9,1,346,Direct Laryngoscopy including biopsy under GA,5175,5951
9,1,347,Phonosurgery,12950,14893
9,1,348,Fibreoptic examination of Larynx (FOL) under LA,1725,1984
9,1,349,Microlaryngeal Surgery,10350,11903
9,1,350,Laryngofissure,17250,19838
9,1,351,Tracheal Stenosis Excision,19780,22747
9,1,,Head and neck cancer,,
9,1,352,Excisional Biopsies,5500,6325
9,1,353,Benign Tumour Excisions,9500,10925
9,1,354,Temporal Bone subtotal resection,20700,23805
9,1,355,Modified Radical Neck Dissection,25300,29095
9,1,356,Carotid Body Excision,26000,29900
9,1,357,Total Laryngectomy,39192,45071
9,1,358,Flap Reconstructive Surgery,41400,47610
9,1,359,Parapharyngeal Tumour Excision,39330,45230
9,1,360,Other Major Surgery,21250,25000
9,1,361,Other Minor Surgery,5000,5750
9,1,,TREATMENT PROCEDURE BREAST,,
9,1,362,Drainage of abscess,5400,6210
9,1,363,Excision of lumps,6272,7213
10,1,364,Local mastectomy-simple,12650,14548
10,1,365,Radical mastectomy-formal or modified.,28750,33063
10,1,366,Excision of mammary fistula,15525,17854
10,1,367,Segmental resection of breast,16100,18515
10,1,368,Other Major Surgery,25000,28750
10,1,369,Other Minor Surgery,5000,5750
10,1,,TREATMENT PROCEDURE GENERAL SURGERY,,
10,1,370,Injury Of Superficial Soft Tissues,425,500
10,1,371,Suturing of small wounds,1060,1250
10,1,372,Secondary suture of wounds,3400,4000
10,1,373,Debridement of wounds,1275,1500
10,1,374,Removal Of Foreign Bodies without C- Arm,1275,1500
10,1,,Biopsies,,
10,1,375,Excision of Cervical Lymph Node under LA,2635,3100
10,1,376,Excision of Axillary Lymph Node under GI Anaesthesia,6715,7900
10,1,377,Excision of Inguinal Lymph Node under LA,2550,3000
10,1,378,Excision Biopsy of Ulcers,1470,1691
10,1,379,Excision Biopsy of Superficial Lumps,2898,3333
10,1,380,Incision Biopsy of Growths/Ulcers,1470,1691
10,1,381,Trucut Needle Biopsy(Including Needle),2975,3500
10,1,382,Percutaneous Kidney Biopsy,1470,1691
10,1,383,Marrow Biopsy (Open),1060,1219
10,1,384,Muscle Biopsy,1470,1691
10,1,385,Scalene Node Biopsy,1350,1553
10,1,386,Excision of Sebaceous Cysts,1242,1428
10,1,387,Excision of Superficial Lipoma,1932,2222
10,1,388,Excision of Superficial Neurofibroma,2500,2875
10,1,389,Excision of Dermoid Cysts,2277,2619
10,1,390,Haemorrhoidectomy,25500,30000
10,1,391,Stappler haemorrhoidectomy,37145,43700
10,1,392,keloid excision,1150,1323
10,1,393,Varicose vein surgery-Trendelenburg operation with suturing or ligation,19550,23000
10,1,,TREATMENT PROCEDURE OESOPHAGUS,,
10,1,394,Atresia of Oesophagus and Tracheo Oesophageal Fistula,28750,33063
10,1,395,Operations for Replacement of Oesophagus by Colon,25000,28750
10,1,396,Oesophagectomy for Carcinoma Easophagus,22500,25875
10,1,397,Oesophageal Intubation (Mausseau Barbin Tube),11500,13225
10,1,398,Achalasia Cardia Transthoracic,14950,17193
10,1,399,Achalasia Cardia Abdominal,12650,14548
10,1,400,Oesophago Gastrectomy for mid 1/3 lesion,24495,28169
10,1,401,Heller’s Operation,19750,22713
10,1,402,Colon-Inter position or Replacement of Oesophagus,22540,25921
10,1,403,Oesophago Gastrectomy – Lower Corringers procedure,21390,24599
10,1,404,Other Major Surgery,25000,29250
11,1,405,Other Minor Surgery,5000,5750
11,1,,TREATMENT PROCEDURE ABDOMEN / GI SURGERY,,
11,1,406,Gastroscopy,1725,1984
11,1,407,Gastric & Duodenal Biopsy (Endoscopic),1950,2243
11,1,408,Pyloromyotomy,2800,3220
11,1,409,Gastrostomy,8625,9919
11,1,410,Simple Closure of Perforated peptic Ulcer,9775,11241
11,1,411,Vagotomy Pyleroplasty / Gastro Jejunostomy,13800,15870
11,1,412,Duodenojejunostomy,18950,21793
11,1,413,Partial/Subtotal Gastrectomy for Carcinoma,23000,26450
11,1,414,Partial/Subtotal Gastrectomy for Ulcer,22425,25789
11,1,415,Operation for Bleeding Peptic Ulcer,20976,24122
11,1,416,Operation for Gastrojejunal Ulcer,19780,22747
11,1,417,Total Gastrectomy for Cancer,22368,25723
11,1,418,Highly Selective Vagotomy,18630,21425
11,1,419,Selective Vagotomy & Drainage,18630,21425
11,1,420,Congenital Diaphragmatic Hernia,34000,40000
11,1,421,Hiatus Hernia Repair- Abdominal,28050,33000
11,1,422,Hiatus Hernia Repair- Transthoracic,28050,33000
11,1,423,Exploratory Laparotomy(OPEN),21250,25000
11,1,424,Epigastric Hernia Repair,21250,25000
11,1,425,Umbilical Hernia Repair,11385,13093
11,1,426,Ventral /incisional Hernia Repair,10293,11837
11,1,427,Inguinal Hernia - Herniorrhaphy,22100,26000
11,1,428,Inguinal Hernia - Hernioplasty,27200,32000
11,1,429,Femoral Hernia Repair,27200,32000
11,1,430,"Rare Hernias Repair (Spigalion, Obturator, Lumbar, Sciatic)",18975,21821
11,1,431,Splenectomy - For Trauma,18975,21821
11,1,432,Splenectomy - For Hypersplenism,14490,16664
11,1,433,Splenorenal Anastomosis,23000,26450
11,1,434,Portocaval Anastomosis,28750,33063
11,1,435,Direct Operation on Oesophagus for Portal Hypertension,22885,26318
11,1,436,Mesentericocaval Anastomosis,25450,29268
11,1,437,Warren Shunt (Distal Splenorenal Shunt),28750,33063
11,1,438,Pancreatico Duodenectomy (Whipple's procedure),21735,24995
11,1,439,By Pass Procedure for Inoperable Carcinoma of Pancreas,23000,26450
11,1,440,Cystojejunostomy or Cystogastrostomy,14490,16664
11,1,441,Cholecystectomy,20400,24000
11,1,442,Cholecystectomy & Exploration of CBD,28050,33000
11,1,443,Repair of Common Bile Duct (CBD),13600,16000
11,1,444,Operation for Hydatid Cyst of Liver,22950,27000
11,1,445,Cholecystostomy,10292,11836
11,1,446,Hepatic Resections (Lobectomy /Hepatectomy),28050,33000
11,1,447,Operation on Adrenal Glands - Bilateral,26105,30021
11,1,448,Operation on Adrenal Glands - Unilateral,13800,15870
12,1,449,Appendicectomy,16150,19000
12,1,450,Appendicular Abscess – Drainage,9775,11241
12,1,451,Mesenteric Cyst- Excision,11040,12696
12,1,452,Peritonioscopy/Laparoscopy,4600,5290
12,1,453,Jejunostomy,5750,6613
12,1,454,Ileostomy,15410,17722
12,1,455,Resection & Anastomosis of Small Intestine(Including exploratory Laparotomy),40375,47500
12,1,456,Duodenal Diverticulum,18400,21160
12,1,457,Operation for Intestinal Obstruction,10350,11903
12,1,458,Operation for Intestinal perforation,38000,43700
12,1,459,Benign Tumours of Small Intestine,19550,22483
12,1,460,Excision of Small Intestine Fistula,38250,45000
12,1,461,Operations for GI Bleed,16000,18400
12,1,462,Operations for Haemorrhage of Small Intestines,19550,22483
12,1,463,Operations of the Duplication of the Intestines--Including exploratory laparotomy,34850,41000
12,1,464,Operations for Recurrent Intestinal Obstruction (Noble Plication & Other Operations for Adhesions),23000,26450
12,1,465,Ileosigmoidostomy and related resection,16790,19309
12,1,466,Ileotransverse Colostomy and related resection,16790,19309
12,1,467,Caecostomy,3903,4488
12,1,468,Loop Colostomy Transverse Sigmoid,13110,15077
12,1,469,Terminal Colostomy,25500,30000
12,1,470,Closure of Colostomy,25500,30000
12,1,471,Right Hemicolectomy,27200,32000
12,1,472,Left Hemicolectomy,27200,32000
12,1,473,Total Colectomy,34000,40000
12,1,474,Operations for Volvulus of Large Bowel,24920,28658
12,1,475,Operations for Sigmoid Diverticulitis,18630,21425
12,1,476,Fissure in Ano with Internal sphinctrectomy with fissurectomy,27200,32000
12,1,477,Fissure in Ano - Fissurectomy,24650,29000
12,1,478,Rectal Polyp-Excision,11645,13700
12,1,479,Fistula in Ano - High Fistulectomy,29750,35000
12,1,480,Fistula in Ano - Low Fistulectomy,19550,23000
12,1,481,Prolapse Rectum - Thiersch Wiring,10350,11903
12,1,482,Prolapse Rectum - Rectopexy,11900,14000
12,1,483,Prolapse Rectum - Grahams Operation(DELETED W E F 1/2/2024),DELETED,DELETED
12,1,484,Operations for Hirschsprungs Disease,14260,16399
12,1,485,Excision of Pilonidal Sinus (open),18700,22000
