source_page,extracted_table_index,column_1,column_2,column_3,column_4
5,1,214,Removable partial denture-Metal based-more than 3 teeth,900,1035
5,1,215,Removable partial denture-Acrylic based-upto 3 teeth,500,575
5,1,216,Removable partial denture-Acrylic based-more than 3 teeth / Per tooth,264,304
5,1,217,Amalgam restoration-per tooth,200,230
5,1,218,Composite Restoration-per tooth-anterior tooth,250,288
5,1,219,Glass Ionomer filling-per tooth,180,207
5,1,220,Scaling & polishing,270,311
5,1,221,Removable Orthodontics appliance- per Arch,650,748
5,1,222,Fixed Orthodontics-per Arch,1150,1323
5,1,223,Space maintainers-Fixed,500,575
5,1,224,Habit breaking appliances-removable,800,920
5,1,225,Habit breaking appliances-Fixed,1500,1725
5,1,226,Expansion plate,1000,1150
5,1,227,Feeding appliance for cleft palate,1500,1725
5,1,228,Maxillo-facial prosthesis (sal/auricular/orbital/facial lost part),3500,4025
5,1,229,Functional orthodontic appliances,3000,3450
5,1,230,Obturator (Maxillo-facial),1500,1725
5,1,231,Occlusal night guard(splint),800,920
5,1,,TREATMENT PROCEDURE ENT,,
5,1,232,Pure Tone Audiogram,155,178
5,1,233,Impedence with stepedeal reflex,230,265
5,1,234,Short Increment Sensitivity Index (SISI) Tone Decay,132,152
5,1,235,Multiple hearing assessment test to Adults,115,132
5,1,236,Speech Discrimination Score,90,104
5,1,237,Speech Assessment,120,138
5,1,238,Speech therapy per session of 30-40 minutes,131,151
5,1,239,Cold Calorie Test for Vestibular function,172,198
5,1,240,Removal of foreign body From Nose,345,397
5,1,241,Removal of foreign body From Ear,230,265
5,1,242,Syringing (Ear),150,173
5,1,243,Polyp removal under LA,575,661
5,1,244,Polyp removal under GA,850,978
5,1,245,Peritonsillar abscess Drainage under LA,1449,1666
6,1,246,Myringoplasty,6900,7935
6,1,247,Staepedectomy,9200,10580
6,1,248,Myringotomy with Grommet insertion,4600,5290
6,1,249,Tympanotomy,8625,9919
6,1,250,Tympanoplasty,13800,15870
6,1,251,Mastoidectomy,14950,17193
6,1,252,Otoplasty,16100,18515
6,1,253,Labyrinthectomy,13800,15870
6,1,254,Skull Base surgery,22500,25875
6,1,255,Facial Nerve Decompression,15525,17854
6,1,256,Septoplasty,5750,6613
6,1,257,Submucous Resection,7314,8411
6,1,258,Septo-rhinoplasty,16100,18515
6,1,259,Rhinoplasty- Non-cosmetic,11500,13225
6,1,260,Fracture Reduction of Nasal Bone,3825,4399
6,1,261,Intra nasal Diathermy,1150,1323
6,1,262,Turbinectomy,5750,6613
6,1,263,Endoscopic Dacryocystorhinostomy (DCR),12000,13800
6,1,264,Endoscopic Surgery,13800,15870
6,1,265,Septal Perforation Repair,13800,15870
6,1,266,Antrum Puncture,950,1093
6,1,267,Lateral Rhinotomy,1000,1150
6,1,268,Cranio-facial resection,22950,26393
6,1,269,Caldwell Luc Surgery (Radical Antrostomy for maxillary sinus),10626,12220
6,1,270,Angiofibroma Excision,17000,19550
6,1,271,Endoscopic Hypophysectomy,19350,22253
6,1,272,Endoscopic Optic Nerve Decompression,32775,37691
6,1,273,Decompression of Orbit,22950,26393
6,1,274,Punch/Wedge biopsy,674,775
6,1,275,Tonsillectomy,5000,5750
6,1,276,Uvulo-palatoplasty,14400,16560
6,1,277,Functional Endoscopic Sinus Surgery (FESS) for Antrochoanal polyp,5750,6613
