Speciality,Category,Package Amount,Code,Procedure,Preauth Documentation,Claim Documentation,Package Type
,,ICD CODE,SURGERY CODE,SYSTEM,PREAUTH EVIDENCE,CLAIM EVIDENCE,PACKAGE AMOUNT
,M1 CRITICAL CARE,J46,M1.1,Medical Management of Acute Severe Asthma With Acute Respiratory Failure(Swine Flu),"Arterial Blood Gas Analysis (ABG) , Chest X-Ray PA View(1 Film), ICU Photo on Ventilator","Arterial Blood Gas Analysis (ABG), Spirometry, Case Sheet with treatment details",75000
,M1 CRITICAL CARE,J44.0,M1.2,Medical Management of COPD with Respiratory Failure (Infective Exacerbation)(Swine Flu),"Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), CT Scan Chest With Contrast, Case sheet with clinical History, ICU Photo on Ventilator","Arterial Blood Gas Analysis (ABG) - , Spirometry, Clinical Photograph, Case sheet with clinical improvement",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M1 CRITICAL CARE,J20.0,M1.3,Medical Management of Acute Bronchitis with Pneumonia and Respiratory Failure(Swine Flu),"High Resolution CT Chest, Throat Swab For KLB, Chest X-Ray PA View(1 Film), Case sheet with clinical History, ICU Photo on Ventilator","Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Case sheet with clinical improvement",100000
,M1 CRITICAL CARE,J80.A,M1.4,Medical Management of ARDS(Swine Flu),"Chest X-Ray PA View(1 Film), CT Scan Chest With Contrast/ CT Scan Chest Without Contrast, Case sheet with clinical History, ICU Photo on Ventilator","Arterial Blood Gas Analysis (ABG) (4 To 6 Per Day), Clinical Photograph, Case sheet with clinical improvement",100000
,M1 CRITICAL CARE,J80.B,M1.5,Medical Management of ARDS with Multi Organ failure(Swine Flu)(R65.1),"Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), CT Scan Chest With Contrast, Throat Swab For KLB, LFT(liver function tests), Renal Profile, Complete Blood Picture [CBP], Case sheet with clinical History, ICU Photo on Ventilator","Arterial Blood Gas Analysis (ABG) (4 To 6 Per Day), Chest X-Ray PA View(1 Film), Case sheet with clinical improvement",150000
,M1 CRITICAL CARE,J80.C,M1.6,Medical Management of ARDS with DIC (Blood and Blood Products)(Swine Flu) (D65),"Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), CT Scan Chest With Contrast, Throat Swab For KLB, Blood Coagulation Analyzer (BCA) Or Coagulation Profile, ICU Photo on Ventilator, Case sheet with clinical History","Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Case sheet with clinical improvement",175000
,M1 CRITICAL CARE,T63,M1.7,Medical Management of Poisioning Requiring Ventilatory Assistance,"Renal Profile, Chest X-Ray PA View(1 Film), Arterial Blood Gas Analysis (ABG), Clinical Photograph, Case sheet with clinical History, ICU Photo on Ventilator, Drug/Poison levels","Arterial Blood Gas Analysis (ABG), Clinical Photograph, MLC copy, Case sheet with clinical improvement",50000
,M1 CRITICAL CARE,R57.2,M1.8,Intensive care management of Septic Shock,"Blood Culture & Sensitivity - Automated, Arterial Blood Gas Analysis (ABG), Renal Profile, USG Abdomen, Urine Culture & Sensitivity, LFT(liver function tests), ICU Photo on Ventilator, Case sheet with clinical History","Arterial Blood Gas Analysis (ABG), Case sheet with clinical improvement",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M1.9 Severe sepsis,-,M1.9A,Severe sepsis,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2 GENERAL MEDICINE,D69.5,M2.1,Medical Management of Thrombocytopenia With Bleeding Diathesis,"Bone Marrow Aspiration , Prothrombin Time , Lepto Spiral Anti Bodies, Activated Partial Thrombo Plastin Time (APTT), Parasite F Test and Quantitative Buffy Coat (QBC), Platelet Count, Webex","Case sheet with clinical improvement , Routine Histopathological Examination",50000
,M2 GENERAL MEDICINE,D66,M2.2.1,Medical Management of Hemophilia (D67/D68.0),"Factor VIII & IX, VWF,Prothrombin Time, Activated Partial Thrombo Plastin Time (APTT), Webex",Case sheet with clinical improvement,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2 GENERAL MEDICINE,D69.9,M2.2.2,Medical Management of Other Coagulation Disorders,"Factor VIII & IX, VWF",Case sheet with clinical improvement,60000
,M2 GENERAL MEDICINE,D56.1,M2.3,Medical Management of Chelation Therapy For Thalassemia Major,"Serum Ferritin Levels, PCV, Complete Haemogram, Perpheral Smear For Malarial Parasites (MP)",Case sheet with clinical improvement,15000
,M2 GENERAL MEDICINE,B50.0,M2.4,Medical Management of Cerebral Malaria,"Cerebrospinal Fluid (CSF) Analysis Cell Count - , Parasite F Test and Quantitative Buffy Coat (QBC), Complete Blood Picture [CBP], Chest X-Ray PA View(1 Film),CT-Scan Brain Plain And Contrast ,LFT(liver function tests) , Renal Profile",Case sheet with clinical improvement,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2 GENERAL MEDICINE,A17.0,M2.5,Medical Management of TB Meningitis,"X-Ray PA View(1 Film), Cerebrospinal Fluid (CSF) Analysis Cell Count, Sputum for Acid-Fast Bacilli (AFB) Staining, LFT(liver function tests), LP procedure photos",Case Sheet with treatment details,60000
,M2 GENERAL MEDICINE,T63.0,M2.6,Medical Management of Snake Bite Requiring Ventilator Support,"Arterial Blood Gas Analysis (ABG), Blood Coagulation Analyzer (BCA) Or Coagulation Profile, Clinical Photograph",Case sheet with clinical improvement,100000
,M2 GENERAL MEDICINE,T63.2.A,M2.7,Medical Management of Scorpion Sting Requiring Ventilator Support,"Arterial Blood Gas Analysis (ABG) [8Hrly (3-Day X 7-Days), Random Blood Sugar (RBS) Test [8Hrly, ECG (Electro Cardiogram), 2D ECHO With Colour Doppler , Cardiac Enzymes, ICU Photo on Ventilator",Case sheet with clinical improvement,60000
,M2 GENERAL MEDICINE,R40.2,M2.8,Medical Management of Metabolic Coma Requiring Ventilatory Support,"Arterial Blood Gas Analysis (ABG), Random Blood Sugar (RBS) Test, Serum Creatinine Levels, Blood - Urea, ECG (Electro Cardiogram), 2D ECHO With Colour Doppler, Serum Creatinine Levels, T3, T4, TSH, MRI Brain With Contrast, Serum Ammonia Levels, Urine Ketones Bodies, Serum Electrolytes, LFT(liver function tests), Cerebrospinal Fluid (CSF) Analysis Cell Count, ICU Photo on Ventilator",Case sheet with clinical improvement,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.11 Acute febrile illness,-,M2.11A,Acute febrile illness,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.12 Chronic Hepatitis,-,M2.12A,Chronic Hepatitis,"Clinical notes with planned line of treatment, LFT, USG - Whole Abdomen","Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.13 Liver abscess,-,M2.13A,Liver abscess,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.14 Visceral leishmaniasis,-,M2.14A,Visceral leishmaniasis,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.15 Pneumonia,-,M2.15A,Pneumonia,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.16 Pericardial / Pleural tuberculosis,-,M2.16.1A,Pericardial tuberculosis,Clinical notes detailing history and Admission notes showing vitals and examination findings; investigations done,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.16 Pericardial / Pleural tuberculosis,-,M2.16.2A,Pleural tuberculosis,Clinical notes detailing history and Admission notes showing vitals and examination findings; investigations done,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.17 Septic Arthritis,-,M2.17A,Septic Arthritis,"Clinical notes with planned line of treatment, CBC, X-ray of the affected joint","Post treatment X-ray / Radiological evidence, CBC, Detailed Discharge Summary",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.18 Recurrent vomiting with dehydration,-,M2.18A,Recurrent vomiting with dehydration,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.19 Pyrexia of unknown origin,-,M2.19A,Pyrexia of unknown origin,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.20 Endocarditis,-,M2.20A,Fungal Endocarditis,"Clinical notes with planned line of treatment, ECHO, CBC","Blood culture reports, Post treatment ECHO, Detailed Discharge Summary, Detailed ICPs, Treatment details, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.21 Ascites,-,M2.21A,Ascites,"Clinial notes, LFT, CBC, USG- abdomen","Ascitic Fluid Analysis and Culture Report, Detailed Discharge Summary,",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.22 Acute transverse myelitis,-,M2.22A,Acute transverse myelitis,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.23 Addison?s disease,-,M2.23A,Addison?s disease,"Clincal notes, Sr. Cortisol levels, USG- abdomen","Post treatment cortisol levels, Detailed Discharge Summary",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.24 Renal colic,-,M2.24A,Renal colic,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.25 Seizures,-,M2.25A,Seizures,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.26 Cerebral sino-venous thrombosis / Stroke,-,M2.26A,Cerebral sino-venous thrombosis,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.27 Hydrocephalus,-,M2.27A,Hydrocephalus,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.28 Thyrotoxic crisis,-,M2.28A,Thyrotoxic crisis,"Clinical notes with planned line of treatment, Throid profile, USG- Thyroid Gland","Radionuclide Iodine uptake study, Post treatment Thyroid Profile, Detailed Discharge Summary",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.29 Gout,-,M2.29A,Gout,"Clinical notes with planned line of treatment, Sr.Uric acid",Detailed Discharge Summary,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.30 Accelerated hypertension,-,M2.30A,Accelerated hypertension,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.31 Sickle cell Anemia,-,M2.31A,Sickle cell Anemia,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.32 Heat stroke,-,M2.32A,Heat stroke,Clinical notes detailing history leading to this hospitalization and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.33 Plasmapheresis,-,M2.33A,Plasmapheresis,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",2100
,M2.34 Blood transfusion,-,M2.34.1A,Whole Blood transfusion,"Clinical notes with planned line of treatment, Complete Hemogram, Blood Group","Detailed ICPs, Post treatment Complete hemogram, Detailed Discharge Summary",2300
,M2.34 Blood transfusion,-,M2.34.2A,"Blood component including platelet transfusion (RDP, PC, SDP)","Clinical notes with planned line of treatment, Complete Hemogram, Blood Group","Detailed ICPs, Post treatment Complete hemogram, Detailed Discharge Summary",2300
,"M2.35 High end radiological diagnostic (CT, MRI, Imaging including nuclear imaging)",-,M2.35A,"High end radiological diagnostic (CT, MRI, Imaging including nuclear imaging)",Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",5800
,M2.36 High end histopathology (Biopsies) and advanced serology investigations,-,M2.36A,High end histopathology (Biopsies) and advanced serology investigations,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",10000
,M2.37 Mental Retardation,-,M2.37A,Mental Retardation,Detailed history with chronicity; need for hospitalization. Admission under empanneled Psychiatrist is a must.,Detailed treatment notes; all investigations done; detailed discharge summary.,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,"M2.38 Mental disorders - Organic, including symptomatic",-,M2.38A,"Mental disorders - Organic, including symptomatic",Detailed history with chronicity; need for hospitalization. Admission under empanneled Psychiatrist is a must.,Detailed treatment notes; all investigations done; detailed discharge summary.,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,"M2.39 Schizophrenia, schizotypal and delusional disorders",-,M2.39A,"Schizophrenia, schizotypal and delusional disorders",Detailed history with chronicity; need for hospitalization. Admission under empanneled Psychiatrist is a must.,Detailed treatment notes; all investigations done; detailed discharge summary.,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,"M2.40 Neurotic, stress-related and somatoform disorders",-,M2.40A,"Neurotic, stress-related and somatoform disorders",Detailed history with chronicity; need for hospitalization. Admission under empanneled Psychiatrist is a must.,Detailed treatment notes; all investigations done; detailed discharge summary.,Stay-5000
,M2.41 Mood (affective) disorders,-,M2.41A,Mood (affective) disorders,Detailed history with chronicity; need for hospitalization. Admission under empanneled Psychiatrist is a must.,Detailed treatment notes; all investigations done; detailed discharge summary.,Stay-5000
,M2.42 Behavioural syndromes associated with physiological disturbances and physical factors,-,M2.42A,Behavioural syndromes associated with physiological disturbances and physical factors,Detailed history with chronicity; need for hospitalization. Admission under empanneled Psychiatrist is a must.,Detailed treatment notes; all investigations done; detailed discharge summary.,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.43 Mental and Behavioural disorders due to psychoactive substance use,-,M2.43A,Mental and Behavioural disorders due to psychoactive substance use,Detailed history of psychoactive substanec with chronicity; need for hospitalization. Admission under empanneled Psychiatrist is a must.,Detailed treatment notes; all investigations done; detailed discharge summary.,Stay-5000
,"M2.44 Pre - Electro Convulsive Therapy (ECT) and Pre - Transcranial Magnetic Stimulation (TMS) Package (Cognitive Tests, Complete Haemogram, Liver Function Test, Renal Function Test, Serum Electrolytes, Electro Cardiogram (ECG), CT / MRI Brain, Electroencephalogram, Thyroid Function Test, VDRL, HIV Test, Vitamin B12 levels, Folate levels, Lipid Profile, Homocysteine levels)",-,M2.44A,"Pre - Electro Convulsive Therapy (ECT) and Pre - Transcranial Magnetic Stimulation (TMS) Package (Cognitive Tests, Complete Haemogram, Liver Function Test, Renal Function Test, Serum Electrolytes, Electro Cardiogram (ECG), CT / MRI Brain, Electroencephalogram, Thyroid Function Test, VDRL, HIV Test, Vitamin B12 levels, Folate levels, Lipid Profile, Homocysteine levels)",Detailed history with chronicity; need for specific treatment and expected results. Admission under empanneled Psychiatrist is a must.,Detailed treatment notes; all investigations done; detailed discharge summary.,10500
,M2.45 Electro Convulsive Therapy (ECT) - per session,-,M2.45A,Electro Convulsive Therapy (ECT) - per session,Detailed history with chronicity; need for specific treatment and expected results. Admission under empanneled Psychiatrist is a must.,Detailed treatment notes; all investigations done; detailed discharge summary.,Stay-5000
,M2.46 Transcranial Magnetic Stimulation (TMS) - per session,-,M2.46A,Transcranial Magnetic Stimulation (TMS) - per session,Detailed history with chronicity; need for specific treatment and expected results. Admission under empanneled Psychiatrist is a must.,Detailed treatment notes; all investigations done; detailed discharge summary.,6000
,M2.47 Severe Pneumonia,-,M2.47A,Severe Pneumonia,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.48 Respiratory failure,-,M2.48.1A,Type 1 respiratory failure,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.48 Respiratory failure,-,M2.48.2A,Type 2 respiratory failure,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M2.48 Respiratory failure,-,M2.48.3A,"Due to any cause (pneumonia, asthma, COPD, ARDS, foreign body, poisoning, head injury etc)","Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management, Copy of MLC / FIR (if required)","Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M3 INFECTIOUS DISEASES,A35,M3.1,Medical Management of Severe Tetanus,"Arterial Blood Gas Analysis (ABG), Skin Swab For Culture & Sensitivity, ICU Photo on Ventilator",Clinical Photograph,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M3 INFECTIOUS DISEASES,A36.A,M3.2,Medical Management of Complicated Diphtheria,"ECG (Electro Cardiogram)-5 Times, Throat Swab For KLB -3 Times, Urine Culture & Sensitivity",Case sheet with clinical improvement,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M3 INFECTIOUS DISEASES,B45.1,M3.3,Medical Management of Cryptococcal Meningitis,"Cryptococcal Antigen, Cerebrospinal Fluid (CSF) Analysis Cell Count - , Acquired Immune Deficiency Syndrome Serology (HIV 1&2 Anti Body) - Elisa, CT-Scan Brain Plain And Contrast, LP procedure photos",Case sheet with clinical improvement,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M3.4 Malaria,-,M3.4A,Malaria,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M3.5 Dengue fever,-,M3.5A,Dengue fever,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M3.6 Chikungunya fever,-,M3.6A,Chikungunya fever,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M3.7 HIV with complications,-,M3.7A,HIV with complications,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M3.8 Leptospirosis,-,M3.8A,Leptospirosis,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M3.9 Dysentery,-,M3.9A,Dysentery,Clinical notes detailing history and Admission notes showing vitals and examination findings; any investigations done; planned line of management,"Detailed ICPs, Treatment details, detailed discharge summary, All investigations reports.",Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.1 NEONATAL INTENSIVE CARE,P22.0.B,M4.1.1,"Medical management of term Baby With Septicemia Culture Positive,Hyperbili rubinemia Not requiring Ventilatory support.","2D ECHO With Colour Doppler, Neurosonogram(NSG), Cerebrospinal Fluid (CSF) Analysis Cell Count , Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Serum Bilirubin Levels, Blood Culture & Sensitivity - Automated, Aspirate Culture (Tracheal ), Clinical Photograph",Case Sheet with treatment details,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.1 NEONATAL INTENSIVE CARE,P22.0.D,M4.1.10,Medical management of pre-term Baby of 30 To 32 Weeks Septi cemia Ductus Arteriosus -requiring Mechanical Ventilation.,"2D ECHO With Colour Doppler, Neurosonogram(NSG), Cerebrospinal Fluid (CSF) Analysis Cell Count , Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Serum Bilirubin Levels, Blood Culture & Sensitivity - Automated, Aspirate Culture (Tracheal ), Clinical Photograph, ICU Photo on Ventilator",Case Sheet with treatment details,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.1 NEONATAL INTENSIVE CARE,P22.0.E,M4.1.11,"Medical management of pre-term Baby of lessthan 30 Weeks Severe Hyaline Membrane Disease Septi cemia Culture Positive,Hyperbili rubinemia Patent Ductus Arteriosus -requiring Mechanical Ventilation.","2D ECHO With Colour Doppler, Neurosonogram(NSG), Cerebrospinal Fluid (CSF) Analysis Cell Count , Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Serum Bilirubin Levels, Blood Culture & Sensitivity - Automated, Aspirate Culture (Tracheal ), Clinical Photograph",Case Sheet with treatment details,90000
,M4.1 NEONATAL INTENSIVE CARE,P22.0.C,M4.1.12,Medical Management of Term Baby With Persistent Pulmonary Hypertension Ventilation-Hfo Hyperbilirubinem ia Clinically evident septicemia.,"2D ECHO With Colour Doppler, Neurosonogram(NSG), Cerebrospinal Fluid (CSF) Analysis Cell Count , Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Serum Bilirubin Levels, Blood Culture & Sensitivity - Automated, Aspirate Culture (Tracheal ), Clinical Photograph, ICU Photo on Ventilator",Case Sheet with treatment details,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.1 NEONATAL INTENSIVE CARE,P22.0.B,M4.1.13,"Medical Management of Term Baby With Severe Perinatal Asphyxia Clinically evident septicemia, Hyperbilirubinem ia - Not requiring Ventilatory support.","2D ECHO With Colour Doppler, Neurosonogram(NSG), Cerebrospinal Fluid (CSF) Analysis Cell Count , Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Serum Bilirubin Levels, Blood Culture & Sensitivity - Automated, Aspirate Culture (Tracheal ), Clinical Photograph",Case Sheet with treatment details,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.1 NEONATAL INTENSIVE CARE,P22.0.C,M4.1.14,"Medical Management of Term Baby With Severe Perinatal Asphyxia Clinically evident septicemia, Hyperbilirubinemia - requiring Ventilatory support.","2D ECHO With Colour Doppler, Neurosonogram(NSG), Cerebrospinal Fluid (CSF) Analysis Cell Count , Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Serum Bilirubin Levels, Blood Culture & Sensitivity - Automated, Aspirate Culture (Tracheal ), Clinical Photograph, ICU Photo on Ventilator",Case Sheet with treatment details,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.1 NEONATAL INTENSIVE CARE,P22.0.B,M4.1.15,Medical Management of Term Baby Severe Hyperbilirubinemia Clinically evident Septicemia.,"2D ECHO With Colour Doppler, Neurosonogram(NSG), Cerebrospinal Fluid (CSF) Analysis Cell Count , Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Serum Bilirubin Levels, Blood Culture & Sensitivity - Automated, Aspirate Culture (Tracheal ), Clinical Photograph",Case Sheet with treatment details,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.1 NEONATAL INTENSIVE CARE,P22.0.C,M4.1.16,Medical management of Seizures in term baby requiring ventilatory support.,"2D ECHO With Colour Doppler, Neurosonogram(NSG), Cerebrospinal Fluid (CSF) Analysis Cell Count , Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Serum Bilirubin Levels, Blood Culture & Sensitivity - Automated, Aspirate Culture (Tracheal ), Clinical Photograph, ICU Photo on Ventilator",Case Sheet with treatment details,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
,M4.1 NEONATAL INTENSIVE CARE,P22.0.B,M4.1.17,"Medical Management of Necrotising Enterocolitis, Clinically evident Septicemia, Hyperbilirubinem ia not requiring ventilatory support.","2D ECHO With Colour Doppler, Neurosonogram(NSG), Cerebrospinal Fluid (CSF) Analysis Cell Count , Arterial Blood Gas Analysis (ABG), Chest X-Ray PA View(1 Film), Serum Bilirubin Levels, Blood Culture & Sensitivity - Automated, Aspirate Culture (Tracheal ), Clinical Photograph",Case Sheet with treatment details,Routine Ward-2300 HDU-3800 ICU without Ventilator-8800 ICU with Ventilator-10350
