source_page,extracted_table_index,column_1,column_2,column_3,column_4,column_5
12,1,267,Lateral Rhinotomy,1000,1150
12,1,268,Cranio-facial resection,25500,29325
12,1,269,Caldwell Luc Surgery (Radical Antrostomy for maxillary sinus),10626,12220
13,1,270,Angiofibroma Excision,17000,19550
13,1,271,Endoscopic Hypophysectomy,21500,24725
13,1,272,Endoscopic Optic Nerve Decompression,32775,37691
13,1,273,Decompression of Orbit,25500,29325
13,1,274,Punch/Wedge biopsy,674,775
13,1,275,Tonsillectomy,5000,5750
13,1,276,Uvulo-palatoplasty,15000,17250
13,1,277,Functional Endoscopic Sinus Surgery (FESS) for Antrochoanal polyp,5750,6613
13,1,278,Functional Endoscopic Sinus Surgery (FESS) for ethmoidal polyp,5750,6613
13,1,279,Polyp removal ear,748,860
13,1,280,Polyp removal Nose(Septal polyp),748,860
13,1,281,Mastoidectomy plus Ossiculoplasty including TORP (Total Ossicular Replacement Prosthesis) or PORP (Partial Ossicular Replacement Prosthesis),2418,2781
13,1,282,Endolymphatic sac decompression,2875,3306
13,1,283,Diagnostic endoscopy under GA,2300,2645
13,1,284,Young's operation for Atrophic rhinitis,6900,7935
13,1,285,Vidian neurectomy for vasomotor Rhinitis,10350,11903
13,1,286,Nasal Packing-anterior,345,397
13,1,287,Nasal Packing-posterior,805,926
13,1,288,Ranula Excision,6843,7869
13,1,289,Tongue Tie excision,1500,1725
13,1,290,Sub Mandibular Duct Lithotomy,269,309
13,1,291,Adenoidectomy,5640,6486
13,1,292,Palatopharyngoplasty,8165,9390
14,1,293,Pharyngoplasty,17193,19772
14,1,294,Styloidectomy,9200,10580
14,1,295,Direct laryngoscopy including Biopsy under GA,5000,5750
14,1,296,Oesophagoscopy with foreign body removal from Oesophagus,1800,2070
14,1,297,Bronchoscopy with foreign body (FB) removal,2438,2804
14,1,298,Other Major Surgery-ENT,15000,17250
14,1,299,Other Minor Surgery-ENT,8500,9775
14,1,300,Ear Lobe Repair one side,500,575
14,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST,Non- NABH/No,
14,1,,TREATMENT PROCEDURE FOR HEAD AND NECK,,
14,1,301,Excision of Pinna for Growth (Squamous/Basal/ Injuries) Skin Only,4000,4600
14,1,302,Excision of Pinna for Growth (Squamous/Basal/ Injuries) Skin and Cartilage,3800,4370
14,1,303,Partial Amputation of Pinna,4500,5175
14,1,304,Total Amputation of Pinna,6200,7130
14,1,305,Total Amputation & Excision of External Auditory Meatus,1500,1725
14,1,306,Excision of Cystic Hygroma,5175,5951
14,1,307,Excision of Cystic Hygroma Extensive,7452,8570
14,1,308,Excision of Branchial Cyst,10350,11903
14,1,309,Excision of Branchial Sinus,10350,11903
14,1,310,Excision of Pharyngeal Diverticulum,10580,12167
14,1,311,Excision of Carotid Body-Tumours,11615,13357
14,1,312,Operation for Cervical Rib,12500,14375
14,1,313,Block Dissection of Cervical Lymph Nodes,15000,17250
15,1,314,Pharyngectomy & Reconstruction,15000,17250
15,1,315,Operation for Carcinoma Lip - Wedge-Excision,8050,9258
15,1,316,Operation for Carcinoma Lip - Vermilionectomy,5758,6622
15,1,317,Operation for Carcinoma Lip - Wedge Excision and Vermilionectomy,9292,10686
15,1,318,Estlander Operation (Estlander flap in plastic surgery of lips),7475,8596
