source_page,extracted_table_index,column_1,column_2,column_3,column_4
9,1,260,Fracture Reduction of Nasal Bone,4000,4600
9,1,261,Intra nasal Diathermy,1035,1190
9,1,262,Turbinectomy,5175,5951
10,1,263,Endoscopic Dacryocystorhinostomy (DCR),11700,13455
10,1,264,Endoscopic Surgery,12420,14283
10,1,265,Septal Perforation Repair,12420,14283
10,1,266,Antrum Puncture,855,983
10,1,267,Lateral Rhinotomy,900,1035
10,1,268,Cranio-facial resection,22950,26393
10,1,269,Caldwell Luc Surgery (Radical Antrostomy for maxillary sinus),9563,10997
10,1,270,Angiofibroma Excision,15300,17595
10,1,271,Endoscopic Hypophysectomy,19350,22253
10,1,272,Endoscopic Optic Nerve Decompression,29498,33923
10,1,273,Decompression of Orbit,22950,26393
10,1,274,Punch/Wedge biopsy,674,775
10,1,275,Tonsillectomy,5000,5750
10,1,276,Uvulo-palatoplasty,15000,17250
10,1,277,Functional Endoscopic Sinus Surgery (FESS) for Antrochoanal polyp,5750,6613
10,1,278,Functional Endoscopic Sinus Surgery (FESS) for ethmoidal polyp,5750,6613
10,1,279,Polyp removal ear,748,860
10,1,280,Polyp removal Nose(Septal polyp),748,860
10,1,281,Mastoidectomy plus Ossiculoplasty including TORP (Total Ossicular,2415,2777
10,1,282,REnepdloalcyemmpehnatt iPcr soascth deesciso)m opr rPeOssRioPn (Partial Ossicular Replacement Prosthesis),2875,3306
10,1,283,Diagnostic endoscopy under GA,2300,2645
10,1,284,Young's operation for Atrophic rhinitis,6210,7142
10,1,285,Vidian neurectomy for vasomotor Rhinitis,9315,10712
10,1,286,Nasal Packing-anterior,345,397
10,1,287,Nasal Packing-posterior,805,926
10,1,288,Ranula Excision,6159,7083
10,1,289,Tongue Tie excision,1440,1656
10,1,290,Sub Mandibular Duct Lithotomy,269,309
10,1,291,Adenoidectomy,5076,5837
11,1,292,Palatopharyngoplasty,8165,9390
11,1,293,Pharyngoplasty,15474,17795
11,1,294,Styloidectomy,8800,10120
11,1,295,Direct laryngoscopy including Biopsy under GA,4500,5175
11,1,296,Oesophagoscopy with foreign body removal from Oesophagus,1800,2070
11,1,297,Bronchoscopy with foreign body (FB) removal,2438,2804
11,1,298,Other Major Surgery,15000,17250
11,1,299,Other Minor Surgery,8500,9775
11,1,,TREATMENT PROCEDURE FOR HEAD AND NECK,,
11,1,300,Ear Lobe Repair one side,450,518
11,1,301,Excision of Pinna for Growth (Squamous/Basal/ Injuries),3600,4140
11,1,302,SEkxicni sOionnl yof Pinna for Growth (Squamous/Basal/ Injuries),3420,3933
11,1,303,SPkarinti aaln Ad mCpaurttialatigoen of Pinna,4050,4658
11,1,304,Total Amputation of Pinna,5580,6417
11,1,305,Total Amputation & Excision of External Auditory Meatus,1500,1725
11,1,306,Excision of Cystic Hygroma,4658,5357
11,1,307,Excision of Cystic Hygroma Extensive,6707,7713
11,1,308,Excision of Branchial Cyst,9315,10712
11,1,309,Excision of Branchial Sinus,9315,10712
11,1,310,Excision of Pharyngeal Diverticulum,10580,12167
11,1,311,Excision of Carotid Body-Tumours,11615,13357
11,1,312,Operation for Cervical Rib,12500,14375
11,1,313,Block Dissection of Cervical Lymph Nodes,13500,15525
11,1,314,Pharyngectomy & Reconstruction,14500,16675
11,1,315,Operation for Carcinoma Lip - Wedge-Excision,7245,8332
11,1,316,Operation for Carcinoma Lip - Vermilionectomy,5182,5959
11,1,317,Operation for Carcinoma Lip - Wedge Excision and Vermilionectomy,8363,9617
11,1,318,Estlander Operation (Estlander flap in plastic surgey of lips),6728,7737
11,1,319,Abbe Operation (Abbe flap in plastic surgery of lips),8820,10143
12,1,320,Cheek Advancement,8798,10118
12,1,321,Excision of the Maxilla,17388,19996
12,1,322,Excision of mandible-segmental,13973,16069
12,1,323,Mandibulectomy,18900,21735
12,1,324,Partial Glossectomy,4968,5713
12,1,325,Hemiglossectomy,7000,8050
12,1,326,Total Glossectomy,20597,23687
12,1,327,Combined Mandibulectomy and Neck Dissection Operation (Commando,19800,22770
12,1,328,OPapreortaidtieocnt)omy - Superficial,10868,12498
12,1,329,Parotidectomy - Total,13500,15525
12,1,330,Parotidectomy - Radical,17595,20234
12,1,331,Repair of Parotid Duct,10350,11903
12,1,332,Removal of Submandibular Salivary gland,7763,8927
12,1,333,Hemithyroidectomy,9350,10753
12,1,334,Partial Thyroidectomy (lobectomy),10350,11903
12,1,335,Subtotal Thyroidectomy,11748,13510
12,1,336,Total Thyroidectomy,17100,19665
12,1,337,Resection Enucleation of thyroid Adenoma,9522,10950
12,1,338,Total Thyroidectomy and Block Dissection,23805,27376
12,1,339,Excision of Lingual Thyroid,15194,17473
12,1,340,Excision of Thyroglossal Cyst/Fistula,11903,13688
12,1,341,Excision of Parathyroid Adenoma/Carcinoma,19148,22020
12,1,342,Laryngectomy,17100,19665
12,1,343,Laryngo Pharyngectomy,27000,31050
12,1,344,Hyoid Suspension,9315,10712
12,1,345,Genioplasty,10800,12420
12,1,346,Direct Laryngoscopy including biopsy under GA,4658,5357
12,1,347,Phonosurgery,12420,14283
12,1,348,Fibreoptic examination of Larynx (FOL) under LA,1553,1786
12,1,349,Microlaryngeal Surgery,9315,10712
12,1,350,Laryngofissure,15525,17854
13,1,351,Tracheal Stenosis Excision,17802,20472
13,1,,Head and neck cancer,,
13,1,352,Excisional Biopsies,5175,5951
13,1,353,Benign Tumour Excisions,8550,9833
13,1,354,Temporal Bone subtotal resection,18630,21425
13,1,355,Modified Radical Neck Dissection,22770,26186
13,1,356,Carotid Body Excision,23400,26910
13,1,357,Total Laryngectomy,35273,40564
13,1,358,Flap Reconstructive Surgery,37260,42849
13,1,359,Parapharyngeal Tumour Excision,35397,40707
13,1,360,Other Major Surgery,21250,24438
13,1,361,Other Minor Surgery,5000,5750
13,1,,TREATMENT PROCEDURE BREAST,,
13,1,362,Drainage of abscess,5400,6210
13,1,363,Excision of lumps,6272,7213
13,1,364,Local mastectomy-simple,11385,13093
13,1,365,Radical mastectomy-formal or modified,25875,29756
