city,source_pdf,source_page,procedure_name,nabh_rate,non_nabh_rate,cghs_rate,rate_type,remarks,extraction_method,needs_manual_review,quality_status,review_reason,raw_text_line,extraction_confidence
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,31,NAME OF INVESTIGATION / GENITOURINARY,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,31,NAME OF INVESTIGATION / ENDOCRINOLOGY,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,32,NAME OF INVESTIGATION / RADIO-ISOTOPE THERAPY,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,32,NAME OF INVESTIGATION / CARDIOLOGY,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,32,NAME OF INVESTIGATION / TUMOUR IMAGING,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,32,NAME OF INVESTIGATION / PET SCAN,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,32,LABORATORY MEDICINE / CLINICAL PATHOLOGY,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,32,LABORATORY MEDICINE / HAEMATOLOGY,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,33,LABORATORY MEDICINE / BLOOD BANK,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,33,LABORATORY MEDICINE / CYTOLOGY,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,33,NAME OF INVESTIGATION / FLOW CYTOMETRY,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,34,LABORATORY MEDICINE / CYTOGENETIC STUDIES,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,34,LABORATORY MEDICINE / BIO-CHEMISTRY,,,,,,pdfplumber,False,needs_manual_review,missing_or_invalid_rate,,0.95
Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,34,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST KANPUR AND GWALIOR,,,,,,pdfplumber,False,needs_manual_review,header_like_procedure; missing_or_invalid_rate,,0.95
