city,source_pdf,source_page,procedure_name,nabh_rate,non_nabh_rate,cghs_rate,rate_type,remarks,extraction_method,needs_manual_review,quality_status
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,13,(Operation for Gastrojejunal Ulcer,20700,18000,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,13,Ventral /incisional Hernia Repair,10653,9264,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,13,ill ees Hernia - Hernioplasty,32000,27200,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,14,Portocaval Anastomosis,33063,28750,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,14,Warren Shunt (Distal Splenorenal Shunt),33063,28750,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,14,Repair of Common Bile Duct (CBD),16000,13600,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,14,(Operation on Adrenal Glands - Bilateral,30021,26105,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,14,Operation on Adrenal Glands - Unilateral,15870,13800,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,14,Operations for GI Bleed,16560,14400,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,15,Operations for Haemorrhage of Small Intestines,22483,19550,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,15,(Noble,26450,23000,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,15,79 fFost Colectomy,40000,34000,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,15,Paes in Ano - High Fistulectomy,35000,29750,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,15,ial ie in Ano - Low Fistulectomy,23000,19550,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,15,Excision of Pilonidal Sinus (open),22000,18700,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,16,Anterior Resection of rectum,24150,21000,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,16,Radio ablation of varicose veins,8500,7228,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,16,Laser ablation of varicose veins,40000,34000,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,16,495 [Laparoscopic Removal of hydatid cyst,18630,16200,,,,ocr,False,usable_ocr
Bengaluru,17062025131439_CGHS Rates 2024 Banglore.pdf,16,‘Laparoscopic treatment of Pseudo Pancreatic cyst,20700,18000,,,,ocr,False,usable_ocr
