extraction_method,city_folder,source_pdf,source_page,extracted_table_index,raw_text_line,procedure_name,nabh_rate,non_nabh_rate,cghs_rate,rate_type,remarks,extraction_confidence,needs_manual_review
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,Enucleation with orbital implants and artificial prosthesis,"3,450.00","3,000.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,Evisceration,"3,571.00","3,105.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,Evisceration with orbital implants and artificial prosthesis,"5,893.00","5,124.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,Telecanthus correction,"5,357.00","4,658.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,Orbital decompression,"5,951.00","5,175.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,Exenteration,"5,951.00","5,175.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,Exenteration with skin grafting,"7,142.00","6,210.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,Fracture orbital repair,"9,522.00","8,280.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,Retinal laser procedures,"1,725.00","1,500.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,Retinal detachment surgery (RDS),"13,225.00","11,500.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,Retinal detachment surgery (RDS) with scleral buckling,"15,870.00","13,800.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,Buckle removal,"1,323.00","1,150.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,Silicone oil removal,"3,220.00","2,800.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,Anterior retinal cryopexy,"1,336.00","1,162.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,Squint correction for one eye,"5,175.00","4,500.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,Squint correction for both eyes,"7,763.00","6,750.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,Trabeculectomy,"7,142.00","6,210.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,Trabeculotomy,"7,142.00","6,210.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,Trabeculectomy with Trabeculotomy,"10,712.00","9,315.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,Trephination,"2,645.00","2,300.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,Goniotomy,397.00,345.00,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,Glaucoma surgery with Glaucoma valves,7142.00+Val ve,6210+valve,,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,Cyclocryotherapy,"1,323.00","1,150.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,YAG laser iridotomy,"1,725.00","1,500.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,YAG laser capsulotomy,"1,257.00","1,093.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,ALT-Argon laser trabeculoplasty,"1,719.00","1,495.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,PDT-Photodymic therapy,"3,968.00","3,450.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,TTT- Transpupillary thermal therapy,"3,450.00","3,000.00",,,,0.95,False
pdfplumber,Kanpur and Gwalior,17062025160208_CGHS-Rate-2024--Kanpur.pdf,3,1,,PTK- Phototherapeutic keratectomy,"8,625.00","7,500.00",,,,0.95,False
