source_page,extracted_table_index,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST Kanpur and Gwalior,Non- NABH/Non- NABL Rates,NABH/NA BL Rates
7,1,309,Excision of Branchial Sinus,"9,315.00","10,712.00"
7,1,310,Excision of Pharyngeal Diverticulum,"10,580.00","12,167.00"
7,1,311,Excision of Carotid Body-Tumours,"11,615.00","13,357.00"
7,1,312,Operation for Cervical Rib,"12,500.00","14,375.00"
7,1,313,Block Dissection of Cervical Lymph Nodes,"15,000.00","17,250.00"
7,1,314,Pharyngectomy & Reconstruction,"15,000.00","17,250.00"
7,1,315,Operation for Carcinoma Lip - Wedge-Excision,"8,050.00","9,258.00"
7,1,316,Operation for Carcinoma Lip - Vermilionectomy,"5,758.00","6,622.00"
7,1,317,Operation for Carcinoma Lip - Wedge Excision and Vermilionectomy,"9,000.00","10,350.00"
7,1,318,Estlander Operation (Estlander flap in plastic surgey of lips),"7,475.00","8,596.00"
7,1,319,Abbe Operation (Abbe flap in plastic surgery of lips),"9,800.00","11,270.00"
7,1,320,Cheek Advancement,"9,775.00","11,241.00"
8,1,321,Excision of the Maxilla,"19,320.00","22,218.00"
8,1,322,Excision of mandible-segmental,"15,000.00","17,250.00"
8,1,323,Mandibulectomy,"18,900.00","21,735.00"
8,1,324,Partial Glossectomy,"5,520.00","6,348.00"
8,1,325,Hemiglossectomy,"7,000.00","8,050.00"
8,1,326,Total Glossectomy,"22,885.00","26,318.00"
8,1,327,Combined Mandibulectomy and Neck Dissection Operation (Commando Operation),"22,000.00","25,300.00"
8,1,328,Parotidectomy - Superficial,"12,075.00","13,886.00"
8,1,329,Parotidectomy - Total,"14,000.00","16,100.00"
8,1,330,Parotidectomy - Radical,"19,550.00","22,483.00"
8,1,331,Repair of Parotid Duct,"11,500.00","13,225.00"
8,1,332,Removal of Submandibular Salivary gland,"8,625.00","9,919.00"
8,1,333,Hemithyroidectomy,"9,500.00","10,925.00"
8,1,334,Partial Thyroidectomy (lobectomy),"11,500.00","13,225.00"
8,1,335,Subtotal Thyroidectomy,"13,053.00","15,011.00"
8,1,336,Total Thyroidectomy,"19,000.00","21,850.00"
8,1,337,Resection Enucleation of thyroid Adenoma,"10,580.00","12,167.00"
8,1,338,Total Thyroidectomy and Block Dissection,"26,450.00","30,418.00"
8,1,339,Excision of Lingual Thyroid,"16,882.00","19,414.00"
8,1,340,Excision of Thyroglossal Cyst/Fistula,"13,225.00","15,209.00"
8,1,341,Excision of Parathyroid Adenoma/Carcinoma,"21,275.00","24,466.00"
8,1,342,Laryngectomy,"17,825.00","20,499.00"
8,1,343,Laryngo Pharyngectomy,"27,000.00","31,050.00"
8,1,344,Hyoid Suspension,"10,350.00","11,903.00"
8,1,345,Genioplasty,"12,000.00","13,800.00"
8,1,346,Direct Laryngoscopy including biopsy under GA,"5,000.00","5,750.00"
8,1,347,Phonosurgery,"13,800.00","15,870.00"
8,1,348,Fibreoptic examination of Larynx (FOL) under LA,"1,725.00","1,984.00"
8,1,349,Microlaryngeal Surgery,"10,350.00","11,903.00"
8,1,350,Laryngofissure,"17,250.00","19,838.00"
8,1,351,Tracheal Stenosis Excision,"19,780.00","22,747.00"
8,1,,Head and neck cancer,,
8,1,352,Excisional Biopsies,"5,175.00","5,951.00"
8,1,353,Benign Tumour Excisions,"8,550.00","9,833.00"
8,1,354,Temporal Bone subtotal resection,"20,700.00","23,805.00"
8,1,355,Modified Radical Neck Dissection,"25,300.00","29,095.00"
8,1,356,Carotid Body Excision,"26,000.00","29,900.00"
8,1,357,Total Laryngectomy,"39,192.00","45,071.00"
8,1,358,Flap Reconstructive Surgery,"40,000.00","46,000.00"
8,1,359,Parapharyngeal Tumour Excision,"38,000.00","43,700.00"
8,1,360,Other Major Surgery,"21,250.00","24,438.00"
8,1,361,Other Minor Surgery,"5,000.00","5,750.00"
8,1,,TREATMENT PROCEDURE BREAST,,
8,1,362,Drainage of abscess,"5,400.00","6,210.00"
8,1,363,Excision of lumps,"6,272.00","7,213.00"
8,1,364,Local mastectomy-simple,"12,000.00","13,800.00"
8,1,365,Radical mastectomy-formal or modified.,"25,875.00","29,756.00"
8,1,366,Excision of mammary fistula,"13,973.00","16,069.00"
8,1,367,Segmental resection of breast,"16,100.00","18,515.00"
8,1,368,Other Major Surgery,"25,000.00","28,750.00"
8,1,369,Other Minor Surgery,"5,000.00","5,750.00"
8,1,,TREATMENT PROCEDURE GENERAL SURGERY,,
9,1,370,Injury Of Superficial Soft Tissues,425.00,489.00
9,1,371,Suturing of small wounds,1060.00,1250.00
9,1,372,Secondary suture of wounds,3400.00,4000.00
9,1,373,Debridement of wounds,1275.00,1500.00
9,1,374,Removal Of Foreign Bodies,1275.00,1500.00
9,1,,Biopsies,,
9,1,375,Excision of Cervical Lymph Node,"2,635.00","3,100.00"
9,1,376,Excision of Axillary Lymph Node,"6,715.00","7,900.00"
9,1,377,Excision of Inguinal Lymph Node,"2,550.00","3,000.00"
9,1,378,Excision Biopsy of Ulcers,"1,323.00","1,521.00"
9,1,379,Excision Biopsy of Superficial Lumps,"2,898.00","3,333.00"
9,1,380,Incision Biopsy of Growths/Ulcers,"1,323.00","1,521.00"
9,1,381,Trucut Needle Biopsy,"2,975.00","3,500.00"
9,1,382,Percutaneous Kidney Biopsy,"1,470.00","1,691.00"
9,1,383,Marrow Biopsy (Open),"1,060.00","1,219.00"
9,1,384,Muscle Biopsy,"1,470.00","1,691.00"
9,1,385,Scalene Node Biopsy,"1,350.00","1,553.00"
9,1,386,Excision of Sebaceous Cysts,"1,242.00","1,428.00"
9,1,387,Excision of Superficial Lipoma,"1,739.00","2,000.00"
9,1,388,Excision of Superficial Neurofibroma,"2,400.00","2,760.00"
9,1,389,Excision of Dermoid Cysts,"2,277.00","2,619.00"
9,1,390,Haemorrhoidectomy,"25,500.00","30,000.00"
9,1,391,Stappler haemorrhoidectomy,"37,145.00","43,700.00"
9,1,392,keloid excision,"1,150.00","1,323.00"
9,1,393,Varicose vein surgery-Trendelenburg operation with suturing or ligation,"19,550.00","23,000.00"
9,1,,TREATMENT PROCEDURE OESOPHAGUS,,
9,1,394,Atresia of Oesophagus and Tracheo Oesophageal Fistula,"28,000.00","32,200.00"
9,1,395,Operations for Replacement of Oesophagus by Colon,"25,000.00","28,750.00"
9,1,396,Oesophagectomy for Carcinoma Easophagus,"25,000.00","28,750.00"
9,1,397,Oesophageal Intubation (Mausseau Barbin Tube),"11,500.00","13,225.00"
9,1,398,Achalasia Cardia Transthoracic,"14,000.00","16,100.00"
9,1,399,Achalasia Cardia Abdominal,"12,650.00","14,548.00"
