source_page,extracted_table_index,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST Kanpur and Gwalior,Non- NABH/Non- NABL Rates,NABH/NA BL Rates
26,1,1096,Pendulous Breast - Mammoplasty,"13,000.00","14,950.00"
26,1,1097,Underdeveloped Breast Mammoplasty,"12,000.00","13,800.00"
26,1,1098,After Mastectomy (Reconstruction)Mammoplasty,"12,000.00","13,800.00"
26,1,1099,Syndactyly Repair,"12,750.00","14,663.00"
26,1,1100,Dermabrasion Face,"11,903.00","13,688.00"
26,1,1101,upto 30% Burns 1st Dressing,152.00,175.00
26,1,1102,upto 30% Burns Subsequent Dressing,124.00,143.00
26,1,1103,30% to 50% Burns 1st Dressing,193.00,222.00
26,1,1104,30% to 50% Burns Subsequent Dressing,152.00,175.00
26,1,1105,Extensive Burn -above 50% Frist Dressing,276.00,317.00
26,1,1106,Extensive Burn -above 50% Subsequent dressing,193.00,222.00
26,1,,TREATMENT PROCEDURE ORTHOPEDICS,,
26,1,1107,Plaster Work,255.00,293.00
26,1,1108,Fingers (post slab),259.00,298.00
26,1,1109,Fingers full plaster,259.00,298.00
26,1,1110,Colles Fracture - Below elbow,880.00,"1,012.00"
26,1,1111,Colles Fracture - Full plaster,895.00,"1,029.00"
26,1,1112,Colles fracture Ant. Or post. slab,400.00,460.00
26,1,1113,Above elbow full plaster,173.00,199.00
26,1,1114,Above Knee post-slab,575.00,661.00
26,1,1115,Below Knee full plaster,173.00,199.00
26,1,1116,Below Knee post-slab,718.00,826.00
26,1,1117,Tube Plaster (or plaster cylinder),800.00,920.00
26,1,1118,Above knee full plaster,"1,139.00","1,310.00"
26,1,1119,Above knee full slab,"1,100.00","1,265.00"
26,1,1120,Minerva Jacket,"2,174.00","2,500.00"
26,1,1121,Plaster Jacket,"2,000.00","2,300.00"
26,1,1122,Shoulder spica,"1,900.00","2,185.00"
26,1,1123,Single Hip spica,"2,019.00","2,322.00"
26,1,1124,Double Hip spica,"2,484.00","2,857.00"
26,1,1125,Strapping of Finger,179.00,206.00
26,1,1126,Strapping of Toes,180.00,207.00
26,1,1127,Strapping of Wrist,230.00,265.00
26,1,1128,Strapping of Elbow,262.00,301.00
26,1,1129,Strapping of Knee,345.00,397.00
26,1,1130,Strapping of Ankle,345.00,397.00
26,1,1131,Strapping of Chest,460.00,529.00
26,1,1132,Strapping of Shoulder,500.00,575.00
26,1,1133,Figure of 8 bandage,500.00,575.00
26,1,1134,Collar and cuff sling,250.00,288.00
26,1,1135,Ball bandage,400.00,460.00
26,1,1136,Application of POP Casts for Upper & Lower Limbs,633.00,728.00
26,1,1137,Application of Functional Cast Brace,"1,215.00","1,397.00"
26,1,1138,Application of Skin Traction,621.00,714.00
26,1,1139,Application of Skeletal Tractions,949.00,"1,091.00"
26,1,1140,Bandage & Strappings for Fractures,500.00,575.00
26,1,1141,Aspiration & Intra Articular Injections,575.00,661.00
26,1,1142,Application of POP Spices & Jackets,"2,473.00","2,844.00"
26,1,1143,Close Reduction of Fractures of Limb & POP,"2,340.00","2,691.00"
26,1,1144,Reduction of Compound Fractures,"2,600.00","2,990.00"
26,1,1145,Open Reduction & Internal Fixation (ORIF) of Fingers & Toes,"4,658.00","5,357.00"
27,1,1146,Open Reduction of fracture of Long Bones of Upper / Lower Limb -Nailing & External Fixation,"8,050.00","9,258.00"
27,1,1147,Open Reduction of fracture of Long Bones of Upper / Lower Limb - AO Procedures,"9,660.00","11,109.00"
27,1,1148,Tension Band Wirings,"5,092.00","5,856.00"
27,1,1149,Bone Grafting,"6,000.00","6,900.00"
27,1,1150,Excision of Bone Tumours,"6,900.00","7,935.00"
27,1,1151,Excision or other Operations for Scaphoid Fractures,"6,469.00","7,439.00"
27,1,1152,Sequestrectomy & Saucerisation,"6,210.00","7,142.00"
27,1,1153,Sequestrectomy & Saucerizations -Arthrotomy,"9,971.00","11,467.00"
27,1,1154,Multiple Pinning Fracture Neck Femur,"11,500.00","13,225.00"
27,1,1155,Plate Fixations for Fracture Neck Femur,"13,500.00","15,525.00"
27,1,1156,AO Compression Procedures for Fracture Neck Femur,"15,000.00","17,250.00"
27,1,1157,Open Reduction of Fracture Neck Femur Muscle Pedicle Graft and Internal Fixations,"19,500.00","22,425.00"
27,1,1158,Close Reduction of Dislocations,"3,000.00","3,450.00"
27,1,1159,Open Reduction of Dislocations,"3,400.00","3,910.00"
27,1,1160,Open Reduction & Internal Fixation (ORIF) of Fracture Dislocation,"13,000.00","14,950.00"
27,1,1161,Neurolysis/Nerve repair,"13,800.00","15,870.00"
27,1,1162,Nerve Repair with Grafting,"15,008.00","17,259.00"
27,1,1163,Tendon with Transplant or Graft,"10,000.00","11,500.00"
27,1,1164,Tendon Lengthening/Tendon repair,"8,000.00","9,200.00"
27,1,1165,Tendon Transfer,"3,105.00","3,571.00"
27,1,1166,Laminectomy Excision Disc and Tumours,"4,830.00","5,555.00"
27,1,1167,Split Osteotomy and Internal Fixations,"22,000.00","25,300.00"
27,1,1168,Anterolateral decompression for tuberculosis/ Costo- Transversectomy,"3,450.00","3,968.00"
27,1,1169,Antereolateral Decompression and Spine Fusion,"19,350.00","22,253.00"
27,1,1170,Corrective Osteotomy & Internal Fixation- short bones,"12,420.00","14,283.00"
27,1,1171,Corrective Osteotomy & Internal Fixation- long bones,"11,040.00","12,696.00"
27,1,1172,Arthrodesis of - Minor Joints,"10,000.00","11,500.00"
27,1,1173,Arthrodesis of - Major Joints,"10,000.00","11,500.00"
27,1,1174,Soft Tissue Operations for Congenital Talipes Equinovarus (CTEV),"8,000.00","9,200.00"
27,1,1175,Soft Tissue Operations for Polio,"6,900.00","7,935.00"
27,1,1176,Hemiarthroplasty- Hip,"18,200.00","20,930.00"
27,1,1177,Hemiarthroplasty- Shoulder,"18,200.00","20,930.00"
27,1,1178,Operations for Brachial Plexus & Cervical Rib,"21,735.00","24,995.00"
27,1,1179,Amputations - Below Knee,"6,900.00","7,935.00"
27,1,1180,Amputations - Below Elbow,"6,843.00","7,869.00"
27,1,1181,Amputations - Above Knee,"8,050.00","9,258.00"
27,1,1182,Amputations - Above Elbow,"6,843.00","7,869.00"
27,1,1183,Amputations - Forequarter,"13,000.00","14,950.00"
27,1,1184,Amputations -Hind Quarter and Hemipelvectomy,"18,400.00","21,160.00"
27,1,1185,Disarticulations - Major joint,"18,630.00","21,425.00"
27,1,1186,Disarticulations - Minor joint,"11,385.00","13,093.00"
27,1,1187,Arthrography,"8,280.00","9,522.00"
27,1,1188,Arthroscopy - Diagnostic,"8,000.00","9,200.00"
27,1,1189,Arthroscopy-therapeutic: without implant,"10,000.00","11,500.00"
28,1,1190,Arthroscopy-therapeutic: with implant,"16,000.00","18,400.00"
28,1,1191,Soft Tissue Operation on Joints -Small,"6,210.00","7,142.00"
28,1,1192,Soft Tissue Operation on Joints -Large,"12,150.00","13,973.00"
28,1,1193,Myocutaneous and Fasciocutaneous Flap Procedures for Limbs,"18,000.00","20,700.00"
28,1,1194,Removal of Wires & Screw,"1,760.00","2,024.00"
28,1,1195,Removal of Plates,"4,000.00","4,600.00"
28,1,1196,Total Hip Replacement (THR),"71,100.00","81,765.00"
28,1,1197,Total Ankle Joint Replacement,"85,860.00","98,739.00"
28,1,1198,Total Knee Joint Replacement (TKR),"99,000.00","1,13,850.00"
28,1,1199,Total Shoulder Joint Replacement,"71,100.00","81,765.00"
28,1,1200,Total Elbow Joint Replacement,"71,100.00","81,765.00"
28,1,1201,Total Wrist Joint Replacement,"95,000.00","1,09,250.00"
28,1,1202,Total finger joint replacement,"20,000.00","23,000.00"
28,1,1203,Tubular external fixator,"4,600.00","5,290.00"
28,1,1204,Ilizarov's external fixator,"7,763.00","8,927.00"
28,1,1205,Pelvi-acetebular fracture -Internal fixation,"8,000.00","9,200.00"
28,1,1206,Meniscectomy,"12,000.00","13,800.00"
28,1,1207,Meniscus Repair,"10,000.00","11,500.00"
28,1,1208,Anterior Cruciate Ligament (ACL) Reconstruction,"8,500.00","9,775.00"
28,1,1209,Posterior Cruciate Ligament (PCL) Reconstruction,"13,500.00","15,525.00"
28,1,1210,Knee Collateral Ligament Reconstruction,"12,500.00","14,375.00"
28,1,1211,Bencarf Repair Shoulder,"13,200.00","15,180.00"
28,1,1212,RC Repair,"1,500.00","1,725.00"
28,1,1213,Biceps tenodesis,"14,000.00","16,100.00"
28,1,1214,Distal biceps tendon repair,"10,380.00","11,937.00"
28,1,1215,Arthrolysis of knee,"12,500.00","14,375.00"
28,1,1216,Capsulotomy of Shoulder,"15,000.00","17,250.00"
28,1,1217,Conservative Plaster of Paris (POP),"1,200.00","1,380.00"
28,1,1218,Application for CTEV per sitting,"1,200.00","1,380.00"
28,1,1219,Total Hip Replacement (THR) Revision Stage-I,"17,000.00","19,550.00"
28,1,1220,Total Hip Replacement (THR) Revision Stage-II,"50,000.00","57,500.00"
28,1,1221,Total Knee Replacement (TKR) Revision Stage-I,"35,000.00","40,250.00"
28,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST KANPUR AND GWALIOR,Non- NABH/Non- NABL Rates,
28,1,1222,Total Knee Replacement (TKR) Revision Stage-II,"35,000.00","40,250.00"
28,1,1223,Illizarov/ external fixation for limb lengthening/ deformity correction,"12,500.00","14,375.00"
28,1,1224,Discectomy/ Micro Discectomy,"12,500.00","14,375.00"
28,1,1225,Laminectomy,"4,646.00","5,343.00"
28,1,1226,Spinal Fixation Cervical/dorsolumbar/ lumbosacral,"16,000.00","18,400.00"
28,1,1227,Fusion Surgery Cervical/ Lumbar Spine upto 2 Level,"22,000.00","25,300.00"
28,1,1228,Spinal Fusion Surgery Cervical/ Lumbar Spine -More than 2 Level,"12,000.00","13,800.00"
28,1,1229,Scoliosis Surgery/ Deformity Correction of Spine,"25,000.00","28,750.00"
28,1,1230,Vertebroplasty,"12,000.00","13,800.00"
28,1,1231,Spinal Injections,450.00,518.00
28,1,1232,Dynamic Hip Screw (DHS) for Fracture Neck Femur,"15,000.00","17,250.00"
28,1,1233,Proximal Femoral Nail (PFN for IT Fracture),"14,000.00","16,100.00"
28,1,1234,Spinal Osteotomy,"1,434.00","1,649.00"
28,1,1235,Illizarov’s / External Fixation for Trauma,"13,000.00","14,950.00"
28,1,1236,Soft Tissue Operations for Polio/ Cerebral Palsy,"10,557.00","12,141.00"
29,1,1237,Mini Fixator for Hand/Foot,"8,100.00","9,315.00"
29,1,1238,Other Major Surgery,"38,250.00","43,988.00"
29,1,1239,Other Minor Surgery,"11,883.00","13,665.00"
29,1,,TREATMENT PROCEDURE PHYSIOTHERAPY,,
29,1,1240,Ultrasonic therapy,75.00,86.00
29,1,1241,Shortwave Diathermy (SWD),78.00,90.00
29,1,1242,Electrical stimulation (therapeutic),78.00,90.00
29,1,1243,Muscle testing and diagnostic,71.00,82.00
29,1,1244,Infrared,78.00,90.00
29,1,1245,Ultraviolet Therapeutic (UV Therapeutic) dose,58.00,67.00
29,1,1246,Intermittent Lumbar Traction,78.00,90.00
29,1,1247,Intermittent Cervical traction,75.00,86.00
29,1,1248,Wax bath,75.00,86.00
29,1,1249,Hot pack,78.00,90.00
29,1,1250,Breathing Exercises & Postural Drainage,50.00,58.00
29,1,1251,Cerebral Palsy – exercise,50.00,58.00
29,1,1252,Post – polio exercise,50.00,58.00
29,1,,NUCLEAR MEDICINE / RADIOTHERAPY AND CHEMOTHERAPY,,
29,1,1253,Cobalt 60 therapy,Leave blank,
29,1,1254,Cobalt 60 therapy- Radical therapy,"68,425.00","78,689.00"
29,1,1255,Cobalt 60 therapy- Palliative therapy,"24,438.00","28,104.00"
29,1,1256,Linear accelerator,Leave blank,
29,1,1257,Linear accelerator- Radical therapy,"58,650.00","67,448.00"
29,1,1258,Linear accelerator- Palliative therapy,"34,213.00","39,345.00"
29,1,1259,3D Planning,"4,888.00","5,621.00"
29,1,1260,2D Planning,"4,888.00","5,621.00"
29,1,1261,IMRT(Intensity Modulated radiotherapy),"1,00,878.00","1,16,010.00"
29,1,1262,SRT (Stereotactic radiotherapy),"60,996.00","70,145.00"
29,1,1263,SRS(Stereotactic radio surgery),"80,546.00","92,628.00"
29,1,1264,IGRT(Image guided radiotherapy),"1,32,314.00","1,52,161.00"
29,1,1265,Respiratory Gating-alongwith Linear accelerator planning,"1,10,000.00","1,26,500.00"
29,1,1266,Electron beam with Linear accelerator,"67,473.00","77,594.00"
29,1,1267,Tomotherapy,"79,400.00","91,310.00"
29,1,,NUCLEAR MEDICINE / BRACHYTHERAPY- HIGH DOSE RADIATION,,
29,1,1268,Intracavitory,"11,730.00","13,490.00"
29,1,1269,Interstitial,"58,650.00","67,448.00"
29,1,1270,Intraluminal,"9,775.00","11,241.00"
29,1,1271,Surface mould,"4,644.00","5,341.00"
29,1,1272,Gliadel Wafer,"93,900.00","1,07,985.00"
29,1,,NUCLEAR MEDICINE / CHEMOTHERAPY,,
29,1,1273,Neoadjuvant,863.00,992.00
29,1,1274,Adjuvant,863.00,992.00
29,1,1275,Concurrent-chemoradiation,920.00,"1,058.00"
29,1,1276,Single drug,552.00,635.00
29,1,1277,Multiple drugs,897.00,"1,032.00"
29,1,1278,Targeted therapy,920.00,"1,058.00"
29,1,1279,Chemoport facility,920.00,"1,058.00"
29,1,1280,PICC line (peripherally inserted Central Cannulisation),920.00,"1,058.00"
30,1,,LIST OF PROCEDURES/ TESTS IN GASTROENTEROLOGY / ENDOSCOPIC PROCEDURES,,
30,1,1281,Upper GI Endoscopy + Lower GI Endoscopy,"1,553.00","1,786.00"
30,1,1282,Diagnostic endoscopy,250.00,288.00
30,1,1283,Endoscopic biopsy,345.00,397.00
30,1,1284,Endoscopic mucosal resection,"1,389.00","1,597.00"
30,1,1285,Oesophageal stricture dilatation,"1,725.00","1,984.00"
30,1,1286,Balloon dilatation of achalasia cardia,"2,875.00","3,306.00"
30,1,1287,Foreign body removal,"1,725.00","1,984.00"
30,1,1288,Oesophageal stenting,"3,000.00","3,450.00"
30,1,1289,Band ligation of oesophageal varices,"2,500.00","2,875.00"
30,1,1290,Sclerotherapy of oesophageal varices,"2,500.00","2,875.00"
30,1,1291,Glue injection of varices,"2,500.00","2,875.00"
30,1,1292,Argon plasma coagulation,"4,025.00","4,629.00"
30,1,1293,Pyloric balloon dilatation,"2,415.00","2,777.00"
30,1,1294,Enteranal stenting,"3,680.00","4,232.00"
30,1,1295,Duodenal stricture dilation,990.00,"1,139.00"
30,1,1296,Single balloon enterocopy,"4,000.00","4,600.00"
30,1,1297,Double balloon enteroscopy,"3,500.00","4,025.00"
30,1,1298,Capsule endoscopy,"4,500.00","5,175.00"
30,1,1299,Piles banding,"1,099.00","1,264.00"
30,1,1300,Colonic stricture dilatation,"2,737.00","3,148.00"
30,1,1301,Hot biopsy forceps procedures,"3,000.00","3,450.00"
30,1,1302,Colonic stenting,"2,737.00","3,148.00"
30,1,1303,Junction biopsy,"2,000.00","2,300.00"
30,1,1304,Conjugal microscopy,"4,000.00","4,600.00"
30,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST KANPUR AND GWALIOR,Non- NABH/Non- NABL Rates,
30,1,1305,Endoscopic sphincterotomy,"2,415.00","2,777.00"
30,1,1306,CBD stone extraction,"2,415.00","2,777.00"
30,1,1307,CBD stricture dilatation,"6,500.00","7,475.00"
30,1,1308,Biliary stenting (plastic and metallic),"4,830.00","5,555.00"
30,1,1309,Mechanical lithotripsy of CBD stones,"8,000.00","9,200.00"
30,1,1310,Pancreatic sphincterotomy,"6,375.00","7,331.00"
30,1,1311,Pancreatic stricture dilatation,"5,750.00","6,613.00"
30,1,1312,Pancreatic stone extraction,"10,098.00","11,613.00"
30,1,1313,Mechanical lithotripsy of pancreatic stones,"11,385.00","13,093.00"
30,1,1314,Endoscopic cysto gastrostomy,"8,050.00","9,258.00"
30,1,1315,Balloon dilatation of papilla,"6,900.00","7,935.00"
30,1,1316,Ultrasound guided FNAC,575.00,661.00
30,1,1317,Ultrasound guided abscess Drainage,720.00,828.00
30,1,1318,Percutaneous Transhepatic Biliary Drainage (PTBD),"1,150.00","1,323.00"
30,1,1319,Diagnostic angiography,"2,000.00","2,300.00"
30,1,1320,Vascular embolization,"15,100.00","17,365.00"
30,1,1321,Transjugular Intrahepatic Portosystemic Shunt (TIPS),"5,400.00","6,210.00"
30,1,1322,Inferior vena cava (IVC) Venography and Hepatic vein (HV) Venography,"34,212.00","39,344.00"
30,1,1323,Muscular stenting,"97,750.00","1,12,413.00"
30,1,1324,Balloon-occluded Retrograde Intravenous Obliteration (BRTO),"57,500.00","66,125.00"
30,1,1325,Portal haemodymic studies,"1,913.00","2,200.00"
31,1,1326,Manometry and PH metry,"1,612.00","1,854.00"
31,1,1327,Oesophageal PH metry,"5,000.00","5,750.00"
31,1,1328,Oesophageal manometry,"5,000.00","5,750.00"
31,1,1329,Small bowel manometry,"6,800.00","7,820.00"
31,1,1330,Anorectal manometry,"6,800.00","7,820.00"
31,1,1331,Colonic manometry,"7,650.00","8,798.00"
31,1,1332,Biliary manometry,"7,650.00","8,798.00"
31,1,1333,Sengstaken blackenesse tube tempode,"2,875.00","3,306.00"
31,1,1334,Lintas machles tube tempode,"2,875.00","3,306.00"
31,1,1335,Faecal / Fecal fat test/ fecal chymotrypsin/ fecal elastase,350.00,403.00
31,1,1336,Breath tests,300.00,345.00
31,1,1337,Extracorporeal Shortwave Lithotripsy (ESWL) (Select CGHS rate code 888 for approved rate),"41,400.00","47,610.00"
31,1,1338,Liver biopsy,"1,380.00","1,587.00"
31,1,,NAME OF INVESTIGATION / DENTAL,,
31,1,1339,Dental IOPA X-ray,50.00,58.00
31,1,1340,Occlusal X-ray,78.00,90.00
31,1,1341,OPG X-ray,196.00,225.00
31,1,,NAME OF INVESTIGATION / PULMONARY,,
31,1,1342,Lung Ventilation & Perfusion Scan (V/Q Scan),"3,600.00","4,140.00"
31,1,1343,Lung Perfusion Scan,"2,000.00","2,300.00"
31,1,,NAME OF INVESTIGATION / OSTEOLOGY,,
31,1,1344,Whole Body Bone Scan with SPECT.,"3,421.00","3,934.00"
31,1,1345,Three phase whole body Bone Scan,"3,421.00","3,934.00"
31,1,,NAME OF INVESTIGATION / NEUROSCIENCES,,
31,1,1346,Brain Perfusion SPECT Scan with Technetium 99m radiopharmaceuticals.,"9,775.00","11,241.00"
31,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST KANPUR AND GWALIOR,Non- NABH/Non- NABL Rates,
31,1,1347,Radionuclide Cisternography for CSF leak,"3,740.00","4,301.00"
31,1,,NAME OF INVESTIGATION / GASTRO AND HEPATOBILIARY,,
31,1,1348,Gastro esophageal Reflux Study (GER Study),"1,955.00","2,248.00"
31,1,1349,Gastro intestinal Bleed (GloB.) Study with Technetium 99m labeled RBCs.,"3,421.00","3,934.00"
31,1,1350,Hepatobiliary Scintigraphy.,"2,444.00","2,811.00"
31,1,1351,Meckel's Scan,"1,955.00","2,248.00"
31,1,1352,Hepatosplenic scintigraphy with Technetium-99m radiopharmaceuticals,"1,870.00","2,151.00"
31,1,1353,Gastric emptying,"1,275.00","1,466.00"
31,1,,NAME OF INVESTIGATION / GENITOURINARY,,
31,1,1354,Renal Cortical Scintigraphy with Technetium 99m Dimercaptosuccinic acid (DMSA),"3,421.00","3,934.00"
31,1,1355,Dynamic Renography.,"3,421.00","3,934.00"
31,1,1356,Dynamic Renography with Diuretic.,"3,421.00","3,934.00"
31,1,1357,Dynamic Renography with Captopril,"1,960.00","2,254.00"
31,1,1358,Testicular Scan,"1,445.00","1,700.00"
31,1,,NAME OF INVESTIGATION / ENDOCRINOLOGY,,
31,1,1359,Thyroid Uptake measurements with 131-Iodine.,"1,564.00","1,799.00"
31,1,1360,Thyroid Scan with Technetium 99m Pertechnetate.,"1,615.00","1,900.00"
32,1,1361,Iodine-131 Whole Body Scan,"2,933.00","3,373.00"
32,1,1362,Whole Body Scan with MIBG,"17,595.00","20,234.00"
32,1,1363,Parathyroid Scan,"4,888.00","5,621.00"
32,1,,NAME OF INVESTIGATION / RADIO-ISOTOPE THERAPY,,
32,1,1364,131-lodine Therapy,"1,530.00","1,760.00"
32,1,1365,131-lodine Therapy <15mCi,"3,854.00","4,432.00"
32,1,1366,131-lodine Therapy 15-50mCi,"4,956.00","5,699.00"
32,1,1367,131-lodine Therapy 51-100mCi,"12,000.00","13,800.00"
32,1,1368,131-lodine Therapy >100mCi,"15,000.00","17,250.00"
32,1,1369,Phosphorus-32 therapy for metastatic bone pain palliation,"5,000.00","5,750.00"
32,1,1370,Samarium-153 therapy for metastatic bone pain palliation,"9,405.00","10,816.00"
32,1,1371,Radiosynovectomy with Yttrium,"21,250.00","24,438.00"
32,1,,NAME OF INVESTIGATION / CARDIOLOGY,,
32,1,1372,Stress thallium / Myocardial Perfusion Scintigraphy,"9,450.00","10,868.00"
32,1,1373,Rest thallium / Myocardial Perfusion Scintigraphy,"8,000.00","9,200.00"
32,1,1374,Venography,"3,300.00","3,795.00"
32,1,1375,Treadmill Test (TMT),950.00,1120.00
32,1,1376,Transoesophageal Echocardiography (TEE),489.00,562.00
32,1,1377,Lymph angiography,"1,613.00","1,855.00"
32,1,,NAME OF INVESTIGATION / TUMOUR IMAGING,,
32,1,1378,Scintimammography.,"4,800.00","5,520.00"
32,1,1379,Indium labelled octreotide Scan,"73,313.00","84,310.00"
32,1,,NAME OF INVESTIGATION / PET SCAN,,
32,1,1380,FDG Whole body PET / CT Scan (with or without contrast),"10,000.00","11,500.00"
32,1,1381,Brain / Heart FDG PET / CT Scan,"10,000.00","11,500.00"
32,1,1382,Gallium-68 Peptide PET / CT imaging for Neuroendocrine Tumor,"10,000.00","11,500.00"
32,1,,LABORATORY MEDICINE / CLINICAL PATHOLOGY,,
32,1,1383,"Urine routine- pH, Specific gravity, sugar, protein and microscopy",35.00,40.00
32,1,1384,Urine Microalbumin,70.00,81.00
32,1,1385,Stool routine,35.00,40.00
32,1,1386,Stool occult blood,24.00,28.00
32,1,1387,Post coital smear examination,30.00,35.00
32,1,1388,Semen analysis,35.00,40.00
32,1,,LABORATORY MEDICINE / HAEMATOLOGY,,
32,1,1389,Haemoglobin (Hb),18.00,21.00
32,1,1390,Total Leucocytic Count (TLC),30.00,35.00
32,1,1391,Differential Leucocytic Count (DLC),30.00,35.00
32,1,1392,Erythrocyte Sedimentation Rate (ESR),25.00,29.00
32,1,1393,"Total Red Cell count with MCV,MCH,MCHC,DRW",32.00,37.00
32,1,1394,"Complete Haemogram/CBC, Hb,RBC count and indices,TLC, DLC, Platelet, ESR, Peripheral smear examination",135,155
32,1,1395,Platelet count,48,55
32,1,1396,Reticulocyte count,48.00,55.00
32,1,1397,Absolute Eosinophil count (AEC),48.00,55.00
33,1,1398,Packed Cell Volume (PCV),13.00,15.00
33,1,1399,Peripheral Smear Examination,43.00,49.00
33,1,1400,Smear for Malaria parasite,41.00,47.00
33,1,1401,Bleeding Time,35.00,40.00
33,1,1402,Osmotic fragility Test,50.00,58.00
33,1,1403,Bone Marrow Smear Examination,70.00,81.00
33,1,1404,Bone Marrow Smear Examination with iron stain,250.00,288.00
33,1,1405,Bone Marrow Smear Examination and cytochemistry,440.00,506.00
33,1,1406,Activated partial ThromboplastinTime (APTT),102.00,117.00
33,1,1407,Rapid test for malaria(card test),44.00,51.00
33,1,1408,WBC cytochemistry for leukemia -Complete panel,110.00,127.00
33,1,1409,"Bleeding Disorder panel- PT, APTT, Thrombin Time Fibrinogen, D- Dimer/ Fibrinogen Degradation Products (FDP)",400.00,460.00
33,1,1410,Factor Assays-Factor VIII,720.00,828.00
33,1,1411,Factor Assays-Factor IX,680.00,782.00
33,1,1412,Platelet Function test,50.00,58.00
33,1,1413,"Tests for hypercoagulable states- Protein C, Protein S, Antithrombin",400.00,460.00
33,1,1414,Tests for lupus anticoagulant,150.00,173.00
33,1,1415,"Tests for Antiphospholipid antibody IgG, IgM ( for cardiolipin and B2 Glycoprotein 1)",500.00,575.00
33,1,1416,Thalassemia studies (Red Cell indices and Hb HPLC),560.00,644.00
33,1,1417,Tests for Sickling / Hb HPLC),77.00,89.00
33,1,,LABORATORY MEDICINE / BLOOD BANK,,
33,1,1418,Blood Group & RH Type,30.00,35.00
33,1,1419,Cross match,50.00,58.00
33,1,1420,Coomb’s Test Direct,90.00,104.00
33,1,1421,Coomb’s Test Indirect,100.00,115.00
33,1,1422,3 cell panel- antibody screening for pregnant female,153.00,176.00
33,1,1423,11 cells panel for antibody identification,153.00,176.00
33,1,1424,Hepatitis B surface antigen (HBsAg),102.00,117.00
33,1,1425,Hepatitis C virus (HCV),128.00,147.00
33,1,1426,Human immunodeficiency virus- HIV I and II,150.00,173.00
33,1,1427,Venereal Disease Research Laboratory test (VDRL),43.00,49.00
33,1,1428,RH Antibody titer,80.00,92.00
33,1,1429,Platelet Concentrate,56.00,64.00
33,1,1430,Random Donor Platelet(RDP)- (Select CGHS rate Code 1828 for approved rate),128.00,147.00
33,1,1431,Single Donor Platelet (SDP- Apheresis)- (Select CGHS rate Code 1830 for approved rate),150.00,173.00
33,1,1432,Routine-H & E,90.00,104.00
33,1,1433,special stain,65.00,75.00
33,1,1434,Immunohistochemistry(IHC),750.00,863.00
33,1,1435,Frozen section,780.00,897.00
33,1,1436,Paraffin section,309.00,355.00
33,1,,LABORATORY MEDICINE / CYTOLOGY,,
33,1,1437,Pap Smear,309.00,355.00
33,1,1438,Body fluid for Malignant cells,150.00,173.00
33,1,1439,Fine Needle Aspiration Cytology (FNAC),200.00,230.00
33,1,,NAME OF INVESTIGATION / FLOW CYTOMETRY,,
34,1,1440,Leukemia panel /Lymphoma panel,"1,536.00","1,766.00"
34,1,1441,"Paroxysmal Nocturnal Hemoglobinuria (PNH) Panel- CD55,CD59","1,000.00","1,150.00"
34,1,,LABORATORY MEDICINE / CYTOGENETIC STUDIES,,
34,1,1442,Karyotyping (Select CGHS rate code 677 for approved rate),"1,385.00","1,593.00"
34,1,1443,Fluorescent in situ hybridization (FISH),500.00,575.00
34,1,,LABORATORY MEDICINE / BIO-CHEMISTRY,,
34,1,1444,Blood Glucose Random,24.00,28.00
34,1,1445,"24 hrs urine for Proteins,Sodium, creatinine",50.00,58.00
34,1,1446,Blood Urea Nitrogen,54.00,62.00
34,1,1447,Serum Creatinine,55.00,63.00
34,1,1448,Urine Bile Pigment and Salt,25.00,29.00
34,1,1449,Urine Urobilinogen,20.00,23.00
34,1,1450,Urine Ketones,30.00,35.00
34,1,1451,Urine Occult Blood,35.00,40.00
34,1,1452,Urine total proteins,18.00,21.00
34,1,1453,Rheumatoid Factor / Rh Factor test,100.00,115.00
34,1,1454,Bence Jones protein,47.00,54.00
34,1,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST KANPUR AND GWALIOR,Non- NABH/Non- NABL Rates,
34,1,1455,Serum Uric Acid,55.00,63.00
34,1,1456,Serum Bilirubin total & direct,80.00,92.00
34,1,1457,Serum Iron,90.00,104.00
34,1,1458,C-reactive Protein (CRP),100.00,115.00
34,1,1459,C-reactive Protein (CRP) Quantitative,160.00,184.00
34,1,1460,"Body fluid (CSF/Ascitic Fluid etc.)Sugar, Protein etc.",90.00,104.00
34,1,1461,Albumin.,18.00,21.00
34,1,1462,Creatinine clearance.,80.00,92.00
34,1,1463,Serum Cholesterol,62.00,71.00
34,1,1464,Total Iron Binding Capacity (TIBC),80.00,92.00
34,1,1465,Glucose (Fasting & PP),47.00,54.00
34,1,1466,Serum Calcium –Total,60.00,69.00
34,1,1467,Serum Calcium –Ionic,44.00,51.00
34,1,1468,Serum Phosphorus,60.00,69.00
34,1,1469,Total Protein Alb/Glo Ratio,50.00,58.00
34,1,1470,Immunoglobulin G (IgG),250.00,288.00
34,1,1471,Immunoglobulin M(IgM),250.00,288.00
