source_page,extracted_table_index,column_1,column_2,column_3,column_4,column_5
5,1,238,Speech therapy per session of 30-40 minutes,131,151
5,1,239,Cold Calorie Test for Vestibular function,172,198
5,1,240,Removal of foreign body From Nose,345,397
5,1,241,Removal of foreign body From Ear,230,265
5,1,242,Syringing (Ear),166,191
5,1,243,Polyp removal under LA,575,661
5,1,244,Polyp removal under GA,850,978
5,1,245,Peritonsillar abscess Drainage under LA,1449,1666
5,1,246,Myringoplasty,6210,7142
5,1,247,Staepedectomy,8280,9522
5,1,248,Myringotomy with Grommet insertion,4600,5290
5,1,249,Tympanotomy,7763,8927
5,1,250,Tympanoplasty,12420,14283
5,1,251,Mastoidectomy,13455,15474
5,1,252,Otoplasty,14490,16664
5,1,253,Labyrinthectomy,12420,14283
5,1,254,Skull Base surgery,25000,28750
5,1,255,Facial Nerve Decompression,15525,17855
5,1,256,Septoplasty,5750,6613
5,1,257,Submucous Resection,7314,8411
5,1,258,Septo-rhinoplasty,14490,16664
5,1,259,Rhinoplasty- Non-cosmetic,11500,13225
5,1,260,Fracture Reduction,4250,5000
5,1,261,Intra nasal Diathermy,1150,1323
5,1,262,Turbinectomy,5750,6613
5,1,263,Endoscopic DCR,13000,14950
5,1,264,Endoscopic Surgery,12420,14283
5,1,265,Septal Perforation Repair,12420,14283
5,1,266,Antrum Puncture,950,1093
5,1,267,Lateral Rhinotomy,1000,1150
5,1,268,Cranio-facial resection,22950,26393
5,1,269,Caldwell Luc Surgery,10626,12220
5,1,270,Angiofibroma Excision,17000,19550
6,1,271,Endoscopic Hypophysectomy,21500,24725
6,1,272,Endoscopic Optic Nerve Decompression,29498,33922
6,1,273,Decompression of Orbit,22950,26400
6,1,274,Punch/Wedge biopsy,674,775
6,1,275,Tonsillectomy,5000,5750
6,1,276,Uvulo-palatoplasty,15000,17250
6,1,277,FESS for antrochoal polyp,5750,6613
6,1,278,FESS for ethmoidal polyp,5751,6614
6,1,279,Polyp removal ear,748,860
6,1,280,Polyp removal Nose(Septal polyp),748,860
6,1,281,Mastoidectomy plus Ossciculoplasty including TORP or PORP,2415,2777
6,1,282,Endolymphatic sac decompression,2875,3306
6,1,283,Diagnostic endoscopy under GA,2300,2645
6,1,284,Yonges operation for Atrophic rhinitis,6900,7935
6,1,285,Vidian neurectomy for vasomotor Rhinitis,9315,10713
6,1,286,Nasal Packing-anterior,345,397
6,1,287,Nasal Packing-posterior,805,926
6,1,288,Ranula Excision,6843,7869
6,1,289,Tongue Tie excision,1350,1553
6,1,290,Sub Mandibular Duct Lithotomy,269,309
6,1,291,Adenoidectomy,5640,6486
6,1,292,Palatopharyngoplasty,7348,8451
6,1,293,Pharyngoplasty,15474,17795
6,1,294,Styloidectomy,8280,9522
6,1,295,Direct laryngoscopy including Biopsy under GA,5000,5750
6,1,296,Oesophagoscopy/foreign body removal from,1800,2070
6,1,297,Bronchoscopy with F.B.removal,2438,2804
6,1,298,Other Major Surgery,15000,17250
6,1,299,Other Minor Surgery,7650,9000
6,1,,TREATMENT PROCEDURE FOR HEAD AND NECK,,
6,1,300,Ear Lobe Repair one side,450,518
6,1,301,Excision of Pinna for Growth (Squamous/Basal/ Injuries) Skin Only,3600,4140
6,1,302,Excision of Pinna for Growth (Squamous/Basal/ Injuries) Skin and Cartilage,3800,4370
6,1,303,Partial Amputation of Pinna,4500,5175
6,1,304,Total Amputation of Pinna,6200,7130
6,1,305,Total Amputation & Excision of External Auditory Meatus,1500,1725
6,1,306,Excision of Cystic Hygroma,4658,5356
