Sno,Hospital Id,Hospital Name,State,District,,,,Hospital Contact,Specialities Selected,Hospital Type,Empanelment Type,Submitted Date,Status Updated Date,Application Status,OnBoarded For Convergence Scheme,Upgraded Specialities,Current Specialities
36,HOSP36G132876,Shadnagar-Chc,TELANGANA,RANGA REDDY,,,,9848288697,"S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S4
37,HOSP36G132877,Government Medical college and General Hospital Siddipet,TELANGANA,SIDDIPET,,,,9440785290,"M1,M1,M2,S8,M1,M7,M1,S7,S1,S12,S2,S3,S4,S5,S6,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, S1, S12, S2, S3, S4, S5, S6"
38,HOSP36G132878,Area Hospital - Miriyalaguda,TELANGANA,NALGONDA,,,,9848885672,"M1,M2,S8,M1,M7,M1,S7,M2,S2,S5,S6,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, S2, S5, S6"
39,HOSP36G132879,Area Hospital - Bongir,TELANGANA,YADADRI BHUVANAGIRI,,,,8008553176,"M2,S1,S2,S4,S5,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M2, S1, S2, S4, S5"
40,HOSP36G132880,Area Hospital - Kamareddy,TELANGANA,KAMAREDDY,,,,8008553963,"M1,M1,M2,S8,M1,M7,M1,S7,M2,S1,S14,S4,S5,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, S1, S14, S4, S5"
41,HOSP36G132881,Area Hospital - Banswada,TELANGANA,KAMAREDDY,,,,9985708151,"M1,S7,S1,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, S7, S1, S4"
42,HOSP36G132882,Area Hospital - Bodhan,TELANGANA,NIZAMABAD,,,,9392243999,"M1,M2,S8,M1,S7,M2,S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, S7, S1"
43,HOSP36G132883,Area Hospital - Jangoan,TELANGANA,JANGOAN,,,,9440170178,"M1,M7,M1,S7,M2,S1,S2,S3,S4,S5,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S7, M2, S1, S2, S3, S4, S5"
44,HOSP36G132884,Area Hospital - Mahaboobabad,TELANGANA,MAHABUBABAD,,,,8719246197,"M1,M2,S8,M1,M7,M1,S7,M2,S1,S5,S6,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, S1, S5, S6"
45,HOSP36G132885,Govt General Hospital- Mahaboobnagar,TELANGANA,MAHABUBNAGAR,,,,9848225765,"M1,M1,M2,S8,M1,M7,M1,S7,M2,M5,S1,S10,S11,S2,S3,S4,S5,S8,S9,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, M5, S1, S10, S11, S2, S3, S4, S5, S9"
46,HOSP36G132886,Govt Area Hospital,TELANGANA,PEDDAPALLI,,,,9347194799,"M1,M7,M1,S7,M2,S1,S3,S4,S5,S6,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S7, M2, S1, S3, S4, S5, S6"
47,HOSP36G132887,Community Health Centre Malkajgiri,TELANGANA,MEDCHAL MALKAJGIRI,,,,6303720053,"M1,M1,M2,S8,M1,M7,M1,S7,M2,M3,M4,M5,M6,M8,S1,S10,S11,S12,S13,S14,S15,S2,S3,S4,S5,S6,S7,S8,S9,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S1, S10, S11, S12, S13, S14, S15, S2, S3, S4, S5, S6, S9"
48,HOSP36G132888,Area hospital Huzurnagar,TELANGANA,SURYAPET,,,,9949420693,"M2,S1,S4,S5,S6,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M2, S1, S4, S5, S6"
49,HOSP36G132889,KN Area Hospital,TELANGANA,NALGONDA,,,,8008553230,"M1,M1,M2,S8,M1,M7,M2,M4,M5,M6,S1,S10,S11,S13,S14,S15,S2,S3,S4,S5,S6,S7,S8,S9,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M2, S8, M7, M4, M5, M6, S1, S10, S11, S13, S14, S15, S2, S3, S4, S5, S6, S7, S9"
50,HOSP36G132890,Area Hospital Ramannapet,TELANGANA,YADADRI BHUVANAGIRI,,,,9848660300,"M2,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M2, S4"
