S.No,City,AD City Name,City ID,Hospital Name,Accreditation,Tier Type,Address,Facilities,Raw JSON
48,Ahmedabad,Ahmedabad,10,IKDRC-ITS,,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": """", ""hospName"": ""IKDRC-ITS"", ""tierType"": ""TIER 1""}"
49,Ahmedabad,Ahmedabad,10,INDRAPURI IMAGING CENTER A UNIT OF JAYPRIT DIAGNOSTIC LLP.,NON NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NON NABH"", ""hospName"": ""INDRAPURI IMAGING CENTER A UNIT OF JAYPRIT DIAGNOSTIC LLP."", ""tierType"": ""TIER 1""}"
50,Ahmedabad,Ahmedabad,10,INSTITUTE KIDNEY DISEASES AND RESEARCH CENTRE,NON NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NON NABH"", ""hospName"": ""INSTITUTE KIDNEY DISEASES AND RESEARCH CENTRE"", ""tierType"": ""TIER 1""}"
51,Ahmedabad,Ahmedabad,10,IN VITRO SPECIALITY LAB PVT LTD,NABL,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABL"", ""hospName"": ""IN VITRO SPECIALITY LAB PVT LTD"", ""tierType"": ""TIER 1""}"
52,Ahmedabad,Ahmedabad,10,JARDOSH DENTAL CLINIC,NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH"", ""hospName"": ""JARDOSH DENTAL CLINIC"", ""tierType"": ""TIER 1""}"
53,Ahmedabad,Ahmedabad,10,JAYDEEP HOSPITAL,NABH ENTRY LEVEL,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH ENTRY LEVEL"", ""hospName"": ""JAYDEEP HOSPITAL"", ""tierType"": ""TIER 1""}"
54,Ahmedabad,Ahmedabad,10,Kanba Hospital,NABH ENTRY LEVEL,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH ENTRY LEVEL"", ""hospName"": ""Kanba Hospital"", ""tierType"": ""TIER 1""}"
55,Ahmedabad,Ahmedabad,10,KANBA HOSPITALUNIT OF LAKHANI HOSPITALS PRIVATE L,NABH ENTRY LEVEL,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH ENTRY LEVEL"", ""hospName"": ""KANBA HOSPITALUNIT OF LAKHANI HOSPITALS PRIVATE L"", ""tierType"": ""TIER 1""}"
56,Ahmedabad,Ahmedabad,10,Khyati Multispeciality Hospital,,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": """", ""hospName"": ""Khyati Multispeciality Hospital"", ""tierType"": ""TIER 1""}"
57,Ahmedabad,Ahmedabad,10,Krishna Shalby Hospital,NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH"", ""hospName"": ""Krishna Shalby Hospital"", ""tierType"": ""TIER 1""}"
58,Ahmedabad,Ahmedabad,10,MATIS MULTISPECIALITY HOSPITAL,NON NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NON NABH"", ""hospName"": ""MATIS MULTISPECIALITY HOSPITAL"", ""tierType"": ""TIER 1""}"
59,Ahmedabad,Ahmedabad,10,MODI MULTISPECIALITY DENTAL CLINIC,NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH"", ""hospName"": ""MODI MULTISPECIALITY DENTAL CLINIC"", ""tierType"": ""TIER 1""}"
60,Ahmedabad,Ahmedabad,10,Naik Superspeciality Hospital,NABH ENTRY LEVEL,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH ENTRY LEVEL"", ""hospName"": ""Naik Superspeciality Hospital"", ""tierType"": ""TIER 1""}"
61,Ahmedabad,Ahmedabad,10,NARAYANA HRUDAYALAYA HOSPITAL - AHMEDABAD,NABH,TIER 1,AHMEDABAD,,"{""adcityName"": ""Ahmedabad"", ""cityName"": ""AHMEDABAD"", ""hospAcc"": ""NABH"", ""hospName"": ""NARAYANA HRUDAYALAYA HOSPITAL - AHMEDABAD"", ""tierType"": ""TIER 1""}"
