scheme_code,hospital_id,hospital_name,aliases,state,district,city,address,hospital_type,empanelment_type,empanelment_status,specialities,source,last_updated
PMJAY,HOSP36P161367,NARENDRA MULTI SPECIALITY HOSPITAL,NARENDRA MULTI SPECIALITY HOSPITAL,TELANGANA,Nirmal,Nirmal,,Private(For Profit),PMJAY,active,"M2, S4, S5, S6",24_June_2026.csv,-NA-
PMJAY,HOSP36P161368,NAVYA MULTI SPECIALITY HOSPITAL,NAVYA MULTI SPECIALITY HOSPITAL,TELANGANA,NALGONDA,NALGONDA,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P161369,I RAMULU MEMORIAL ORTHO TRAUMA CENTER,I RAMULU MEMORIAL ORTHO TRAUMA CENTER,TELANGANA,NALGONDA,NALGONDA,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P161370,K S ORTHOPEDIC AND MULTI SPECIALITY HOSPITAL,K S ORTHOPEDIC AND MULTI SPECIALITY HOSPITAL,TELANGANA,SURYAPET,SURYAPET,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P161371,NEW AMMA MULTISPECIALITY HOSPITAL,NEW AMMA MULTISPECIALITY HOSPITAL,TELANGANA,WARANGAL RURAL,WARANGAL RURAL,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P161372,OZONE HOSPITALS A unit of ozone institute of medical Sciences Pvt Ltd,OZONE HOSPITALS A unit of ozone institute of medical Sciences Pvt Ltd,TELANGANA,MEDCHAL MALKAJGIRI,MEDCHAL MALKAJGIRI,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P161373,PADMAJA HOSPITAL,PADMAJA HOSPITAL,TELANGANA,MEDAK,MEDAK,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P161397,SHUBHAM INSTITUTE OF MEDICAL SCIENCES,SHUBHAM INSTITUTE OF MEDICAL SCIENCES,TELANGANA,MAHABUBNAGAR,MAHABUBNAGAR,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P161398,SIRI HOSPITAL,SIRI HOSPITAL,TELANGANA,RAJANNA SIRCILLA,RAJANNA SIRCILLA,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P161399,SRI ANANTH MULTI SPECIALITY HOSPITAL,SRI ANANTH MULTI SPECIALITY HOSPITAL,TELANGANA,VIKARABAD,VIKARABAD,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P161400,THIRUMAL NURSING HOME,THIRUMAL NURSING HOME,TELANGANA,Nirmal,Nirmal,,Private(For Profit),PMJAY,active,"M1, M7, S5, S6, S7",24_June_2026.csv,-NA-
PMJAY,HOSP36P161401,Prathima Cancer Hospitals Private Limited,Prathima Cancer Hospitals Private Limited,TELANGANA,WARANGAL URBAN,WARANGAL URBAN,,Private(For Profit),PMJAY,active,"M1, M2, S8, M7, S7, M4, M5, M6, S1, S12, S13, S14, S15, S16, S2, S4, S5, S6, S9",24_June_2026.csv,-NA-
PMJAY,HOSP36P161402,RAGHAVENDRA HOSPITALS(A UNIT OF SKHC PVT LTD),RAGHAVENDRA HOSPITALS(A UNIT OF SKHC PVT LTD),TELANGANA,HYDERABAD,HYDERABAD,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P161403,SAI SRINIVASA MULTISPECIALITY HOSPITAL,SAI SRINIVASA MULTISPECIALITY HOSPITAL,TELANGANA,NALGONDA,NALGONDA,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P161404,SAMRAKSHA MULTISPECIALITY HOSPITAL,SAMRAKSHA MULTISPECIALITY HOSPITAL,TELANGANA,NALGONDA,NALGONDA,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
PMJAY,HOSP36P161405,SANKALPA C STAR HOSPITAL A Unit of Sankalpa Healthcare Khammam,SANKALPA C STAR HOSPITAL A Unit of Sankalpa Healthcare Khammam,TELANGANA,KHAMMAM,KHAMMAM,,Private(For Profit),PMJAY,active,-NA-,24_June_2026.csv,-NA-
