source_page,extracted_table_index,Sr. No.,CGHS TREATMENT PROCEDURE/INVESTIGATION LIST (DELHI/NCR),Non- NABH/Non- NABL Rates,NABH/NABL Rates
17,1,390,Haemorrhoidectomy,25500,30000
17,1,391,Stappler haemorrhoidectomy,37145,43700
17,1,392,keloid excision,1150,1323
17,1,393,Varicose vein surgery-Trendelenburg operation with suturing or ligation,19550,23000
17,1,Sr. No.,TREATMENT PROCEDURE OESOPHAGUS,Non- NABH/Non- NABL Rates,NABH/NABL rates in Rupee
17,1,394,Atresia of Oesophagus and Tracheo Oesophageal Fistula,28750,33063
17,1,395,Operations for Replacement of Oesophagus by Colon,25000,28750
17,1,396,Oesophagectomy for Carcinoma Easophagus,25000,28750
17,1,397,Oesophageal Intubation (Mausseau Barbin Tube),11500,13225
17,1,398,Achalasia Cardia Transthoracic,14950,17193
17,1,399,Achalasia Cardia Abdominal,12650,14548
17,1,400,Oesophago Gastrectomy for mid 1/3 lesion,24495,28169
17,1,401,Heller’s Operation,19750,22713
17,1,402,Colon-Inter position or Replacement of Oesophagus,22540,25921
17,1,403,Oesophago Gastrectomy – Lower Corringers procedure,21390,24599
17,1,404,Other Major Surgery-Oesophagus,27625,31769
17,1,405,Other Minor Surgery-Oesophagus,5000,5750
18,1,406,Gastroscopy,1725,1984
18,1,407,Gastric & Duodenal Biopsy (Endoscopic),1950,2243
18,1,408,Pyloromyotomy,2800,3220
18,1,409,Gastrostomy,8625,9919
18,1,410,Simple Closure of Perforated peptic Ulcer,9775,11241
18,1,411,Vagotomy Pyleroplasty / Gastro Jejunostomy,13800,15870
18,1,412,Duodenojejunostomy,18950,21793
18,1,413,Partial/Subtotal Gastrectomy for Carcinoma,23000,26450
18,1,414,Partial/Subtotal Gastrectomy for Ulcer,22425,25789
18,1,415,Operation for Bleeding Peptic Ulcer,20976,24122
18,1,416,Operation for Gastrojejunal Ulcer,19780,22747
18,1,417,Total Gastrectomy for Cancer,22368,25723
18,1,418,Highly Selective Vagotomy,18630,21425
18,1,419,Selective Vagotomy & Drainage,18630,21425
18,1,420,Congenital Diaphragmatic Hernia,34000,40000
18,1,421,Hiatus Hernia Repair- Abdominal,28050,33000
18,1,422,Hiatus Hernia Repair- Transthoracic,28050,33000
